week	name	t	a	sck	int	ff
1	D. Hightower	6	2	1.0	0	0
1	B. Fletcher	4	2	0.0	0	0
1	M. Butler	3	2	0.0	0	0
1	J. Collins	3	3	0.0	0	0
1	D. McCourty	3	2	0.0	0	0
1	R. Ninkovich	3	1	0.0	0	0
1	T. Brown	2	2	0.0	0	0
1	P. Chung	2	3	0.0	0	0
1	D. Harmon	2	1	0.0	1	0
1	J. Sheard	2	1	1.0	0	0
1	A. Branch	1	1	0.0	0	0
1	M. Brown	1	1	1.0	0	0
1	C. Jones	1	2	0.0	0	0
1	J. Mayo	1	1	0.0	0	0
1	S. Siliga	1	2	0.0	0	0
1	G. Grissom	0	1	0.0	0	0
2	J. Collins 	8	3 	2.5 	0 	1
2	D. Hightower 	8	4 	0.5 	0 	0
2	C. Jones 	5	1 	3.0 	0 	0
2	D. McCourty 	5	1 	0.0 	0 	0
2	M. Butler 	4	2 	0.0 	1 	0
2	B. Fletcher 	4	0 	0.0 	0 	1
2	T. Brown 	3	1 	0.0 	0 	0
2	R. Ninkovich 	3	1 	1.0 	0 	0
2	L. Ryan 	3	1 	0.0 	1 	0
2	P. Chung 	2	1 	0.0 	0 	0
2	J. Sheard 	2	1 	0.0 	0 	0
2	A. Branch 	1	0 	1.0 	0 	1
2	M. Brown 	1	0 	0.0 	0 	0
2	J. Freeny 	1	0 	0.0 	0 	0
2	R. Johnson 	1	0 	0.0 	0 	0
2	J. Mayo 	1	1 	0.0 	0 	0
2	S. Siliga 	1	0 	0.0 	0 	0
2	D. Harmon 	0	0 	0.0 	1 	0
3	M. Butler	4	0	0.0	0	0
3	J. Collins	4	1	1.0	0	1
3	L. Ryan	4	0	0.0	0	0
3	J. Coleman	2	1	0.0	0	0
3	C. Jones	2	0	0.0	0	0
3	J. Richards	2	0	0.0	0	0
3	J. Sheard	2	0	1.0	0	0
3	A. Branch	1	0	0.0	0	0
3	M. Brown	1	0	0.0	0	0
3	P. Chung	1	0	0.0	0	0
3	D. Easley	1	1	0.0	0	0
3	J. Freeny	1	1	0.0	0	0
3	D. Harmon	1	0	0.0	0	0
3	D. Hightower	1	0	0.0	0	0
3	J. Mayo	1	0	0.0	0	0
3	D. McCourty	1	0	0.0	1	0
3	R. Ninkovich	1	0	0.0	0	0
3	S. Siliga	1	2	0.0	0	0
3	M. Slater	1	0	0.0	0	0
5	T. Brown	6	1	0.0	0	0
5	J. Collins	6	4	0.0	0	1
5	D. McCourty	6	1	0.0	0	0
5	P. Chung	5	2	0.0	0	0
5	D. Hightower	4	0	1.0	0	0
5	J. Sheard	3	0	2.0	0	0
5	A. Branch	2	0	0.0	0	0
5	D. Easley	2	0	0.0	0	0
5	J. Richards	2	0	0.0	0	0
5	L. Ryan	2	1	0.0	1	0
5	M. Butler	1	0	0.0	0	0
5	J. Coleman	1	0	0.0	0	0
5	J. Mayo	1	1	0.0	0	0
5	S. Siliga	1	3	0.0	0	0
5	M. Brown	0	2	0.0	0	0
5	C. Jones	0	1	0.0	0	0
5	R. Ninkovich	0	1	0.0	0	0
6	M. Butler	7	1	0.0	0	0
6	D. McCourty	7	2	0.0	0	0
6	L. Ryan	6	3	0.0	0	0
6	P. Chung	4	0	0.0	0	0
6	J. Freeny	3	4	0.0	0	0
6	D. Harmon	2	0	0.0	0	0
6	C. Jones	2	2	2.5	0	0
6	B. Bolden	1	0	0.0	0	0
6	M. Brown	1	3	0.0	0	0
6	J. Coleman	1	0	0.0	0	0
6	J. Collins	1	4	0.0	0	0
6	R. Ninkovich	1	0	0.0	0	0
