week	name	rec	yds	td	lg
1	J. Edelman	11	97	0	14
1	R. Gronkowski	5	94	3	52
1	D. Lewis	4	51	0	19
1	D. Amendola	2	24	0	18
1	B. Bolden	1	12	0	12
1	A. Dobson	1	9	0	9
1	S. Chandler	1	1	1	1
2	R. Gronkowski	7	113	1	36
2	D. Lewis	6	98	0	40
2	J. Edelman	11	97	2	22
2	A. Dobson	7	87	0	24
2	D. Amendola	1	29	0	29
2	S. Chandler	3	23	0	9
2	M. Williams	1	15	0	15
2	B. Bolden	1	2	0	2
2	T. Cadet	1	2	0	2
3	R. Gronkowski	4	101	0	43
3	J. Edelman	8	85	0	19
3	D. Amendola	5	39	1	12
3	K. Martin	3	33	1	13
3	D. Lewis	5	30	0	9
3	J. White	4	26	0	11
3	S. Chandler	2	25	0	17
3	L. Blount	1	14	0	14
3	A. Dobson	1	5	0	5
5	J. Edelman	4	120	1	59
5	R. Gronkowski	4	67	0	33
5	D. Lewis	8	59	1	14
5	K. Martin	2	23	0	16
5	D. Amendola	2	6	0	4
6	D. Amendola	7	105	0	35
6	J. Edelman	6	50	1	13
6	R. Gronkowski	3	50	1	25
6	S. Chandler	2	39	0	25
6	K. Martin	1	39	0	39
6	D. Lewis	3	18	0	12
6	L. Blount	1	11	1	11
7	R. Gronkowski	11	108	1	26
7	D. Amendola	8	86	1	23
7	J. Edelman	5	54	0	27
7	S. Chandler	2	34	0	26
7	J. White	3	26	0	12
7	B. LaFell	2	25	0	19
7	A. Dobson	2	18	0	11
7	M. Williams	1	4	0	4
8	R. Gronkowski	6	113	1	47
8	D. Lewis	6	93	1	19
8	J. Edelman	7	81	2	20
8	B. LaFell	4	47	0	25
8	D. Amendola	1	11	0	11
8	S. Chandler	1	9	0	9
8	L. Blount	1	2	0	2
9	B. LaFell	5	102	0	48
9	J. Edelman	5	55	1	24
9	R. Gronkowski	4	47	0	15
9	D. Lewis	4	39	0	15
9	B. Bolden	3	27	1	18
9	D. Amendola	4	24	0	11
9	S. Chandler	1	5	0	5
10	R. Gronkowski	5	113	1	76
10	D. Amendola	10	79	0	12
10	B. LaFell	2	66	0	54
10	J. Edelman	4	53	0	30
10	L. Blount	2	11	0	10
10	J. White	1	6	0	6
10	A. Dobson	1	5	0	5
10	S. Chandler	1	1	1	1
11	D. Amendola	9	117	0	41
11	B. LaFell	4	66	0	27
11	R. Gronkowski	2	37	0	27
11	J. White	2	32	1	20
11	A. Dobson	1	17	0	17
11	L. Blount	1	5	0	5
11	S. Chandler	1	3	0	3
12	R. Gronkowski	6	88	1	23
12	B. Bolden	4	84	1	63
12	S. Chandler	5	58	1	22
12	B. LaFell	4	36	0	14
12	K. Martin	1	8	0	8
12	J. White	2	5	0	5
12	A. Cleveland	1	1	0	1
13	J. White	10	115	1	25
13	D. Amendola	7	62	1	14
13	S. Chandler	4	61	1	30
13	K. Martin	3	45	0	19
13	T. Brady	1	36	0	36
13	B. LaFell	4	27	0	12
13	B. Bolden	1	2	0	2
14	R. Gronkowski	4	87	1	45
14	D. Amendola	6	46	0	10
14	J. White	4	38	0	27
14	B. LaFell	5	32	0	10
14	K. Martin	3	23	1	13
15	B. LaFell	4	88	0	31
15	J. White	7	71	1	30
15	R. Gronkowski	5	54	1	15
15	K. Martin	3	26	0	11
15	B. Bolden	2	18	0	12
15	M. Williams	1	7	0	7
15	D. Amendola	1	3	0	3
16	R. Gronkowski	4	86	0	30
16	K. Martin	7	68	0	24
16	B. Bolden	5	30	0	14
16	J. White	5	28	1	13
16	B. LaFell	1	19	0	19
17	J. White	2	63	0	68
17	S. Jackson	1	20	0	20
17	R. Gronkowski	2	18	0	12
17	D. Amendola	2	17	0	9
17	B. LaFell	2	7	0	8
17	C. Harper	1	6	0	6
17	B. Bolden	2	5	0	6
17	K. Martin	1	4	0	4
