week	name	att	yds	td	lg
1	D. Lewis	15	69	0	13
1	J. Edelman	1	9	0	9
1	B. Bolden	5	1	0	3
1	T. Brady	3	1	0	2
2	D. Lewis	7	40	1	13
2	J. Edelman	1	12	0	12
2	L. Blount	2	4	0	4
2	D. Amendola	1	3	0	3
2	B. Bolden	1	1	0	1
2	T. Brady	3	-4	0	-1
3	L. Blount	18	78	3	22
3	D. Lewis	8	37	1	10
3	J. White	2	8	0	5
3	T. Brady	2	4	0	2
3	J. Garoppolo	2	-2	0	-1
5	L. Blount	13	74	0	34
5	D. Lewis	6	34	0	13
5	T. Brady	2	3	1	2
5	J. Garoppolo	2	-2	0	-1
6	L. Blount	16	93	1	38
6	D. Lewis	4	21	0	8
6	J. Edelman	1	2	0	2
6	T. Brady	4	0	0	2
7	T. Brady	4	15	1	11
7	J. White	2	4	0	3
7	L. Blount	3	-3	0	3
8	L. Blount	17	72	0	14
8	D. Lewis	5	19	0	11
8	J. White	3	3	0	3
8	T. Brady	1	1	0	1
9	L. Blount	29	129	1	21
9	D. Lewis	4	14	0	9
9	B. Bolden	1	12	0	12
9	D. Amendola	1	8	0	8
9	T. Brady	1	-1	0	-1
9	J. Garoppolo	1	-1	0	-1
10	L. Blount	19	66	1	13
10	T. Brady	2	9	0	10
10	J. White	1	5	0	5
10	B. Bolden	1	-3	0	-3
11	L. Blount	16	56	0	17
11	B. Bolden	4	15	0	7
11	J. White	2	14	1	8
12	L. Blount	9	27	0	9
12	B. Bolden	4	11	0	9
12	J. White	3	1	0	1
13	L. Blount	13	54	0	10
13	B. Bolden	3	22	0	14
13	T. Brady	6	17	1	12
13	D. Johnson	1	6	0	6
13	J. White	2	4	0	8
14	L. Blount	10	53	0	17
14	B. Bolden	16	51	0	12
14	T. Brady	4	10	0	13
14	J. White	1	2	1	2
15	J. Iosefa	14	51	0	15
15	B. Bolden	10	36	0	10
15	J. White	1	6	0	6
15	B. LaFell	1	0	0	0
16	B. Bolden	9	30	0	13
16	S. Jackson	7	15	0	7
16	B. LaFell	1	9	0	9
16	K. Martin	1	6	0	6
16	J. White	2	4	0	3
16	J. Iosefa	1	0	0	0
16	T. Brady	1	-1	0	-1
17	S. Jackson	14	35	1	6
17	B. Bolden	9	31	0	10
17	J. White	3	5	0	4
17	T. Brady	1	-1	0	-1
