week	name	t	a	sck	int	ff
1	L. Asante	7	1	0.0	0	0
1	M. Smith	6	1	0.0	0	0
1	T. Carrie	5	1	0.0	0	0
1	C. Woodson	5	2	0.0	0	0
1	D. Hayden	3	1	0.0	0	0
1	K. Mack	3	1	0.0	0	0
1	J. Tuck	3	2	0.0	0	0
1	D. Williams	3	1	0.0	0	0
1	R. Armstrong	2	1	0.0	0	0
1	C. Lofton	1	1	0.0	0	0
1	A. Smith	1	1	0.0	0	0
1	N. Allen	0	1	0.0	0	0
2	C. Lofton	7	6	0.0	0	0
2	M. Smith	7	5	0.0	0	0
2	D. Hayden	4	2	0.0	0	0
2	T. Carrie	3	1	0.0	0	1
2	N. Thorpe	3	1	0.0	1	0
2	C. Woodson	3	1	0.0	0	0
2	L. Asante	2	3	0.0	0	0
2	D. Autry	2	0	0.0	0	0
2	T. Mays	2	3	0.0	0	0
2	J. Tuck	2	2	0.0	0	0
2	C. Wilson	2	0	0.0	0	0
2	R. Armstrong	1	1	0.0	0	0
2	B. Heeney	1	0	0.0	0	0
2	K. Mack	1	0	0.0	0	0
2	S. McGee	1	0	0.0	0	0
2	A. Smith	1	0	0.0	0	0
3	M. Smith	7	1	1.0	0	0
3	C. Lofton	5	2	0.0	0	0
3	N. Thorpe	5	0	0.0	0	0
3	C. Woodson	4	2	0.0	1	0
3	T. Carrie	3	1	0.0	0	0
3	D. Hayden	3	1	0.0	0	0
3	K. Mack	3	1	2.0	0	1
3	D. Amerson	2	1	0.0	0	0
3	A. Smith	2	0	0.0	0	0
3	R. Armstrong	1	0	1.0	0	0
3	L. Asante	1	0	0.0	0	0
3	D. Autry	1	0	0.0	0	0
3	N. Ball	1	0	1.0	0	0
3	S. McGee	0	3	0.0	0	0
3	J. Tuck	0	2	0.0	0	0
3	D. Williams	0	2	0.0	0	0
4	M. Smith	8	1	0.0	0	0
4	A. Smith	6	0	1.0	0	0
4	D. Amerson	5	2	0.0	0	1
4	C. Woodson	5	0	0.0	1	0
4	R. Armstrong	4	0	0.0	0	0
