week	name	rec	yds	td	lg
1	A. Cooper	5	47	0	24
1	M. Crabtree	5	37	0	11
1	L. Murray	7	36	0	11
1	M. Reece	3	26	2	11
1	J. Olawale	3	19	0	11
1	T. Jones	1	13	0	13
1	S. Roberts	3	12	0	7
1	R. Streater	1	8	0	8
1	M. Rivera	1	4	0	4
1	C. Walford	1	1	0	1
2	M. Crabtree	9	111	1	37
2	A. Cooper	7	109	1	68
2	A. Holmes	3	50	0	21
2	L. Murray	3	22	0	12
2	M. Reece	1	16	0	16
2	M. Rivera	3	15	0	7
2	S. Roberts	1	12	1	12
2	T. Jones	1	6	0	6
2	L. Smith	1	6	0	6
2	C. Walford	1	4	0	4
3	A. Cooper	8	134	0	40
3	S. Roberts	3	56	1	36
3	M. Reece	1	55	0	55
3	M. Crabtree	4	36	0	14
3	R. Helu	1	12	0	12
3	L. Murray	1	10	0	10
3	L. Smith	1	8	0	8
3	A. Holmes	1	3	1	3
4	M. Crabtree	5	80	0	25
4	A. Cooper	4	49	1	26
4	M. Reece	2	16	0	10
4	L. Smith	2	14	0	9
4	R. Helu	2	13	1	9
4	L. Murray	3	12	0	11
4	M. Rivera	2	12	0	8
5	M. Crabtree	4	54	0	25
5	M. Reece	7	49	1	13
5	A. Cooper	4	47	0	21
5	M. Rivera	3	33	0	19
5	C. Walford	1	33	0	33
5	L. Murray	3	18	0	14
5	R. Helu	3	12	0	9
5	D. Penn	1	3	0	3
7	A. Cooper	5	133	1	52
7	M. Crabtree	6	63	1	25
7	C. Walford	2	42	1	23
7	T. Jones	2	17	0	16
7	M. Reece	3	15	0	6
7	M. Rivera	2	11	0	7
7	S. Roberts	1	6	0	6
7	L. Murray	1	1	0	1
7	L. Smith	2	1	0	8
8	M. Crabtree	7	102	1	36
8	T. Jones	1	59	1	59
8	A. Holmes	2	54	2	49
8	A. Cooper	5	46	0	13
8	M. Reece	3	26	0	15
8	S. Roberts	1	21	0	21
8	C. Walford	2	13	0	11
8	L. Murray	1	6	0	6
8	L. Smith	1	6	0	6
9	M. Crabtree	7	108	2	38
9	A. Cooper	7	88	1	21
9	S. Roberts	3	73	0	36
9	M. Rivera	2	16	0	8
9	L. Smith	1	10	0	10
9	T. Jones	1	6	0	6
9	C. Walford	1	1	1	1
9	L. Murray	2	-1	0	3
10	A. Cooper	5	79	0	38
10	M. Crabtree	4	55	0	22
10	M. Rivera	6	46	0	17
10	J. Olawale	3	35	0	14
10	A. Holmes	1	34	1	34
10	L. Murray	5	29	0	8
10	C. Walford	2	18	1	10
10	S. Roberts	1	5	0	5
10	L. Smith	1	1	0	1
10	M. Reece	1	0	0	0
11	S. Roberts	2	54	0	43
11	M. Crabtree	6	50	0	15
11	C. Walford	2	25	0	18
11	M. Rivera	1	21	0	21
11	J. Olawale	1	15	0	15
11	A. Cooper	1	4	0	4
12	A. Cooper	7	115	0	41
12	S. Roberts	6	113	2	38
12	M. Rivera	2	28	0	19
12	L. Murray	1	23	0	23
12	M. Crabtree	4	19	1	7
12	C. Walford	1	14	0	14
12	A. Holmes	1	9	0	9
12	M. Reece	1	7	0	7
12	L. Smith	1	2	0	2
13	A. Cooper	4	69	0	23
13	C. Walford	5	53	0	16
13	S. Roberts	4	51	0	17
13	M. Crabtree	5	45	1	25
13	M. Reece	3	19	0	15
13	R. Helu	1	15	0	15
13	M. Rivera	2	13	0	7
13	L. Murray	4	11	0	9
13	L. Smith	1	5	1	5
13	A. Holmes	1	1	0	1
13	J. Olawale	1	1	0	1
14	M. Rivera	3	49	1	29
14	C. Walford	3	47	0	25
14	S. Roberts	2	20	1	11
14	M. Crabtree	4	19	0	8
15	A. Cooper	6	120	2	41
15	M. Crabtree	6	70	0	23
15	M. Reece	3	37	0	29
15	M. Rivera	3	20	0	14
15	A. Holmes	2	17	0	11
15	C. Walford	2	10	0	6
15	L. Murray	1	2	0	2
16	M. Crabtree	6	39	1	11
16	L. Murray	5	38	0	14
16	S. Roberts	2	37	0	33
16	A. Holmes	3	33	0	16
16	C. Walford	1	22	0	22
16	L. Smith	1	17	0	17
16	A. Cooper	2	10	0	7
16	T. Jones	1	5	0	5
16	M. Reece	2	3	0	3
17	C. Walford	4	46	0	19
17	M. Crabtree	3	34	1	31
17	L. Murray	4	25	0	11
17	R. Helu	2	23	0	14
17	A. Cooper	2	20	0	14
17	S. Roberts	3	20	0	19
17	J. Olawale	1	14	0	14
17	M. Rivera	2	12	0	8
