week	name	att	yds	td	lg
1	L. Murray	11	44	0	12
1	D. Carr	1	8	0	8
1	J. Olawale	1	6	0	6
1	T. Jones	3	5	0	4
2	L. Murray	15	65	1	9
2	D. Carr	2	23	0	24
2	T. Jones	2	9	0	7
3	L. Murray	26	139	1	54
3	T. Jones	2	16	0	9
3	M. Reece	1	1	0	1
3	D. Carr	1	-1	0	-1
4	L. Murray	15	49	0	8
4	R. Helu	5	22	0	12
4	D. Carr	1	0	0	0
4	J. Olawale	1	-1	0	-1
5	L. Murray	13	39	0	11
5	J. Olawale	6	13	0	5
5	R. Helu	3	6	0	4
5	M. Reece	1	6	0	6
5	A. Cooper	1	2	0	2
5	D. Carr	1	-1	0	-1
7	L. Murray	15	85	1	24
7	T. Jones	3	35	0	19
7	J. Olawale	2	4	0	3
7	D. Carr	2	3	0	4
7	R. Helu	4	3	0	3
8	L. Murray	20	113	0	26
8	T. Jones	2	5	0	3
8	A. Cooper	1	2	0	2
8	D. Carr	2	-2	0	-1
9	L. Murray	17	96	0	44
9	M. Reece	3	21	0	12
9	J. Olawale	1	19	1	19
9	D. Carr	2	3	0	4
9	T. Jones	2	0	0	1
10	L. Murray	12	48	0	14
10	J. Olawale	5	24	0	10
10	D. Carr	2	12	0	11
11	L. Murray	13	28	1	16
11	J. Olawale	4	12	0	6
11	D. Carr	1	8	0	8
11	T. Jones	1	2	0	2
11	M. Reece	2	2	0	2
12	L. Murray	22	59	0	8
12	J. Olawale	2	17	0	10
12	D. Carr	4	5	0	5
12	R. Helu	2	3	0	2
13	L. Murray	20	86	1	35
13	J. Olawale	2	16	0	13
13	M. Reece	1	4	0	4
13	A. Cooper	1	-7	0	-7
14	L. Murray	16	27	0	7
14	T. Jones	1	2	0	2
14	M. Reece	2	2	0	2
14	D. Carr	4	-4	0	-1
15	L. Murray	21	78	0	22
15	D. Carr	4	42	0	19
16	L. Murray	19	79	1	22
16	D. Carr	4	30	0	11
16	C. Woodson	1	-3	0	-3
17	L. Murray	11	31	0	9
17	D. Carr	2	12	0	7
17	R. Helu	3	5	0	3
