week	name	t	a	sck	int	ff
1	L. Joyner	7	0	1.0	0	0
1	A. Donald	5	4	2.0	0	0
1	J. Jenkins	5	1	0.0	0	0
1	A. Ogletree	5	2	0.0	0	0
1	M. Roberson	5	0	0.0	0	0
1	J. Laurinaitis	4	3	0.0	0	0
1	W. Hayes	3	1	0.0	0	0
1	T. Johnson	3	0	0.0	1	0
1	T. McDonald	3	2	0.0	0	0
1	R. McLeod	3	3	0.0	0	0
1	R. Quinn	3	2	2.0	0	0
1	A. Ayers	2	0	0.0	0	0
1	M. Barron	2	3	0.0	0	0
1	M. Brockers	1	6	0.0	0	0
1	C. Long	1	2	0.0	0	0
1	E. Sims	1	1	1.0	0	0
1	N. Fairley	0	1	0.0	0	0
2	A. Ogletree	8	8	0.0	0	0
2	J. Jenkins	6	0	0.0	0	0
2	M. Brockers	5	2	0.0	0	0
2	L. Joyner	5	0	0.0	0	0
2	J. Laurinaitis	4	5	0.0	0	0
2	R. McLeod	4	2	0.0	0	0
2	A. Donald	3	2	0.5	0	0
2	R. Quinn	2	2	0.0	0	1
2	A. Ayers	1	0	0.0	0	0
2	W. Hayes	1	3	0.0	0	0
2	T. Johnson	1	3	0.0	0	0
2	C. Long	1-5	1	0	0	0
2	T. McDonald	1	3	0.0	0	0
2	E. Westbrooks	1	1	0.0	0	0
2	M. Barron	0	4	0.0	0	0
2	N. Fairley	0	2	0.5	0	0
3	J. Jenkins	6	3	0.0	1	0
3	T. McDonald	5	3	0.0	0	0
3	A. Ogletree	5	4	2.0	0	0
3	J. Laurinaitis	4	4	0.0	0	0
3	R. McLeod	4	3	0.0	0	0
3	A. Donald	3	1	1.0	0	0
3	L. Joyner	3	2	0.0	0	0
3	M. Brockers	2	1	0.0	0	0
3	T. Johnson	2	1	0.0	0	0
3	M. Barron	1	3	1.0	0	0
3	R. Quinn	1	0	1.0	0	1
3	E. Westbrooks	1	1	0.0	0	0
4	A. Ogletree	9	1	0.0	0	0
4	T. Johnson	7	1	0.0	0	0
4	J. Jenkins	5	0	0.0	1	0
4	T. McDonald	5	1	1.0	0	0
4	L. Joyner	4	1	1.0	0	0
4	J. Laurinaitis	4	1	1.0	0	1
4	M. Barron	3	1	0.0	0	0
4	R. McLeod	3	2	0.0	0	1
4	A. Donald	2	0	0.0	0	0
4	E. Westbrooks	2	0	0.0	0	0
4	A. Ayers	1	0	0.0	0	0
4	D. Bates	1	1	0.0	0	0
4	N. Fairley	1	0	0.0	0	0
4	C. Long	1	0	1.0	0	0
4	R. Quinn	0	2	0.0	0	0
5	L. Joyner	6	1	0.0	0	0
5	T. McDonald	6	0	0.0	0	0
5	T. Johnson	5	0	0.0	1	0
5	R. Quinn	4	2	1.0	0	1
5	M. Barron	3	2	0.0	0	0
5	J. Laurinaitis	3	5	0.0	1	0
5	R. McLeod	3	0	0.0	0	0
5	M. Brockers	2	1	1.0	0	0
5	A. Donald	2	1	0.0	0	0
5	W. Hayes	2	1	0.0	0	0
5	D. Bates	1	0	0.0	0	0
5	N. Fairley	1	0	0.0	0	0
5	E. Sims	1	0	0.0	0	0
7	M. Barron	10	6	0.0	0	0
7	T. Johnson	7	1	0.0	0	0
7	L. Joyner	5	2	0.0	0	0
7	J. Laurinaitis	4	4	0.0	0	0
7	A. Donald	3	0	1.0	0	0
