week	name	rec	yds	td	lg
1	J. Cook	5	85	0	30
1	B. Cunningham	4	77	0	42
1	S. Bailey	3	58	0	29
1	L. Kendricks	2	42	1	37
1	K. Britt	2	37	0	21
1	T. Austin	2	-2	0	7
2	J. Cook	5	47	0	14
2	K. Britt	2	44	1	40
2	B. Cunningham	4	27	0	10
2	L. Kendricks	1	15	0	15
2	C. Givens	1	7	0	7
2	T. Austin	1	6	0	6
2	T. Mason	2	4	0	3
2	S. Bailey	1	0	0	0
3	K. Britt	7	102	0	26
3	T. Austin	5	38	0	12
3	B. Cunningham	2	18	0	12
3	T. Mason	1	15	0	15
3	L. Kendricks	2	12	0	7
3	J. Cook	1	7	0	7
3	T. Gurley	1	5	0	5
4	T. Austin	6	96	2	47
4	S. Bailey	2	30	1	18
4	J. Cook	3	22	0	12
4	T. Gurley	2	15	0	8
4	B. Cunningham	2	4	0	7
4	C. Harkey	1	4	0	4
5	S. Bailey	3	73	0	68
5	B. Cunningham	2	28	0	17
5	C. Davis	1	20	0	20
5	L. Kendricks	2	16	0	12
5	B. Quick	1	10	0	10
5	J. Cook	1	8	0	8
5	T. Austin	2	6	1	5
7	T. Austin	4	43	0	20
7	K. Britt	1	41	0	41
7	T. Gurley	4	35	0	24
7	J. Cook	2	19	0	17
7	B. Cunningham	2	13	0	10
7	S. Bailey	1	8	0	8
7	C. Harkey	1	4	0	4
8	T. Austin	4	98	1	66
8	J. Cook	2	57	0	49
8	T. Gurley	3	13	0	15
8	L. Kendricks	2	7	0	4
8	T. Mason	1	6	0	6
8	B. Marquez	1	5	0	5
8	B. Quick	1	5	0	5
9	K. Britt	3	87	0	55
9	L. Kendricks	2	25	0	20
9	T. Gurley	3	20	0	11
9	T. Austin	4	15	0	10
9	S. Bailey	2	13	0	10
9	J. Cook	1	10	0	10
9	B. Marquez	1	3	0	3
9	B. Quick	1	-1	0	-1
9	T. Mason	1	-4	0	-4
10	T. Gurley	3	44	0	31
10	B. Quick	1	37	0	37
10	J. Cook	2	35	0	29
10	W. Welker	3	32	0	14
10	B. Marquez	2	19	0	11
10	T. Mason	1	16	0	16
10	K. Britt	1	6	0	6
10	T. Austin	2	5	0	4
10	L. Kendricks	1	4	0	4
10	B. Cunningham	1	2	0	2
11	L. Kendricks	2	43	1	30
11	J. Cook	4	31	0	16
11	K. Britt	2	24	0	16
11	B. Cunningham	1	20	0	20
11	W. Welker	2	13	0	7
11	T. Austin	1	5	0	5
12	K. Britt	6	63	0	18
12	J. Cook	4	58	0	25
12	T. Mason	7	37	0	11
12	T. Austin	6	33	0	12
12	L. Kendricks	3	17	0	11
12	B. Marquez	3	13	0	7
12	W. Welker	2	12	0	6
12	T. Gurley	1	11	0	11
12	B. Quick	2	8	0	5
12	B. Cunningham	1	5	0	5
12	C. Harkey	1	2	0	2
13	K. Britt	2	41	0	30
13	T. Austin	1	24	0	24
13	J. Cook	3	22	0	10
13	B. Marquez	3	16	0	6
13	W. Welker	2	15	0	9
13	B. Quick	1	14	0	14
13	T. Mason	2	10	0	7
13	C. Harkey	1	4	0	4
14	K. Britt	2	35	0	25
14	B. Marquez	3	32	0	14
14	T. Austin	3	19	0	14
14	J. Cook	1	11	0	11
14	W. Welker	1	11	0	11
14	B. Cunningham	1	8	0	8
14	T. Gurley	1	7	0	7
14	T. Mason	2	1	0	4
15	K. Britt	2	71	1	60
15	J. Cook	4	64	0	25
15	T. Austin	3	41	1	17
15	T. Gurley	2	31	0	19
15	L. Kendricks	3	27	0	11
16	K. Britt	3	49	1	28
16	T. Austin	3	16	0	16
16	B. Cunningham	3	14	0	10
16	T. Gurley	1	7	0	7
16	B. Quick	1	6	0	6
16	J. Cook	1	5	0	5
16	T. Mason	1	3	0	3
16	W. Welker	1	3	0	3
17	K. Britt	3	81	0	54
17	L. Kendricks	5	37	0	12
17	B. Cunningham	3	34	0	13
17	T. Austin	5	30	0	10
17	B. Quick	2	23	0	12
17	W. Welker	2	16	0	11
17	C. Harkey	1	12	0	12
17	M. Brown	1	-2	0	-2
