week	name	att	yds	td	lg
1	B. Cunningham	16	45	0	9
1	T. Austin	4	17	1	16
1	N. Foles	4	11	1	9
1	I. Pead	2	3	0	4
2	T. Austin	4	40	0	16
2	T. Mason	7	26	0	13
2	N. Foles	1	1	0	1
2	B. Cunningham	1	0	0	0
3	C. Givens	1	24	0	24
3	T. Mason	9	16	0	7
3	B. Cunningham	1	12	0	12
3	N. Foles	1	10	0	10
3	T. Gurley	6	9	0	4
4	T. Gurley	19	146	0	52
4	T. Austin	2	20	0	12
4	B. Cunningham	2	0	0	3
4	N. Foles	1	-1	0	-1
4	T. Mason	2	-1	0	2
5	T. Gurley	30	159	0	55
5	T. Austin	3	22	0	15
5	T. Mason	2	8	0	6
5	N. Foles	1	2	0	2
7	T. Gurley	19	128	2	48
7	T. Austin	1	21	0	21
7	B. Cunningham	4	11	0	8
7	N. Foles	2	-2	0	-1
8	T. Gurley	20	133	1	71
8	T. Mason	15	46	0	9
8	T. Austin	3	21	1	13
8	N. Foles	3	-3	0	-1
9	T. Gurley	24	89	1	16
9	T. Austin	8	66	0	22
9	T. Mason	3	3	0	2
9	N. Foles	1	2	0	2
10	T. Gurley	12	45	1	9
10	T. Mason	6	31	0	11
10	T. Austin	3	18	0	12
11	T. Gurley	25	66	1	7
11	T. Austin	1	16	0	16
11	B. Cunningham	1	0	0	0
11	C. Keenum	2	0	0	0
12	T. Austin	4	63	1	60
12	T. Gurley	9	19	0	8
12	B. Cunningham	2	12	0	8
12	N. Foles	1	2	0	2
12	T. Mason	1	-2	0	-2
13	T. Gurley	9	41	0	34
13	T. Austin	2	14	0	12
13	T. Mason	2	13	0	15
13	N. Foles	2	-2	0	-1
14	T. Gurley	16	140	2	49
14	T. Austin	4	40	0	20
14	B. Cunningham	3	14	0	9
14	T. Mason	4	7	0	6
14	C. Keenum	2	2	0	3
15	T. Gurley	21	48	1	9
15	T. Austin	4	32	1	21
15	T. Mason	3	13	0	7
15	B. Cunningham	2	8	0	4
15	C. Keenum	3	-3	0	-1
16	T. Gurley	19	83	1	18
16	T. Austin	3	12	0	8
16	C. Keenum	4	4	0	4
16	T. Mason	3	3	0	5
16	B. Cunningham	1	0	0	0
17	T. Mason	18	44	1	11
17	B. Cunningham	4	38	0	40
17	T. Austin	6	32	0	13
17	M. Brown	4	17	0	13
17	C. Keenum	1	2	0	2
