week	name	t	a	sck	int	ff
1	J. Smith	8	0	0.0	1	0	
1	B. Williams	6	1	0.0	0	0	
1	K. Arrington	4	0	0.0	0	0	
1	W. Hill	4	1	0.0	0	0	
1	C. Mosley	4	1	2.0	0	0	
1	L. Guy	3	0	0.0	0	0	
1	L. Webb	3	0	0.0	0	0	
1	C. Canty	2	0	1.0	0	0	
1	C. Davis	2	1	0.0	0	0	
1	E. Dumervil	2	0	0.0	0	0	
1	K. Lewis-Moore	2	0	0.0	0	0
1	D. Smith	2	4	0.0	0	0	
1	C. Upshaw	2	1	0.0	0	0	
1	K. Lewis	1	0	0.0	0	0	
1	A. McClellan	1	1	1.0	0	0	
2	C. Mosley	8	1	0.0	0	0	
2	D. Smith	7	1	0.0	0	0	
2	J. Smith	5	0	1.0	0	0	
2	L. Webb	5	0	0.0	0	0	
2	K. Arrington	3	2	0.0	0	0	
2	L. Guy	3	1	0.0	0	0	
2	W. Hill	3	1	0.0	1	0	
2	E. Dumervil	2	0	0.0	0	0	
2	A. McClellan	2	0	0.0	0	0	
2	K. Lewis	1	2	0.0	0	0	
2	Z. Smith	1	0	0.0	0	0	
2	C. Upshaw	1	1	0.0	0	0	
2	B. Williams	1	0	0.0	0	0	
3	W. Hill	4	0	1.0	0	0	
3	C. Mosley	4	2	0.0	0	0	
3	B. Williams	4	4	0.0	0	0	
3	J. Smith	3	1	0.0	1	0	
3	L. Webb	3	2	0.0	0	0	
3	K. Arrington	2	0	0.0	0	0	
3	E. Dumervil	2	0	1.0	0	1	
3	L. Guy	2	5	0.0	0	0	
3	D. Smith	2	5	0.0	0	0	
3	T. Brooks	1	1	0.0	0	0	
3	T. Jernigan	1	3	0.0	0	0	
3	R. Melvin	1	0	0.0	0	0	
3	Z. Smith	1	0	0.0	0	0	
3	C. Upshaw	1	2	0.0	0	0	
3	C. Davis	0	1	0.0	0	0	
3	K. Lewis	0	1	0.0	0	0	
3	A. McClellan	0	1	0.0	0	0	
4	D. Smith	10	3	1.0	0	0	
4	E. Dumervil	5	1	1.0	0	0	
4	W. Hill	4	1	0.0	0	0	
4	Z. Smith	4	0	2.0	0	0	
4	L. Webb	4	1	0.0	0	0	
4	B. Williams	4	1	0.0	0	0	
4	C. Mosley	3	3	0.0	0	0	
4	L. Guy	2	0	0.0	0	0	
4	K. Lewis	2	0	0.0	0	0	
4	J. Smith	2	0	0.0	0	0	
4	C. Upshaw	2	1	0.0	0	0	
4	K. Arrington	1	1	0.0	0	0	
4	W. Davis	1	0	0.0	0	0	
4	C. Davis	1	0	0.0	0	0	
4	T. Jernigan	1	0	0.0	0	0	
4	A. McClellan	1	0	0.0	0	0	
5	J. Smith	8	1	0.0	0	0	
5	W. Hill	7	1	0.0	0	0	
5	D. Smith	7	5	0.0	0	0	
5	T. Brooks	5	0	0.0	0	0	
5	K. Lewis	5	1	0.0	0	0	
5	K. Arrington	3	0	0.0	0	0	
5	L. Guy	3	3	2.0	0	0	
5	B. Williams	3	0	1.0	0	0	
5	A. McClellan	2	1	0.0	0	0	
5	Z. Smith	2	2	0.0	0	0	
5	C. Upshaw	2	2	0.0	0	0	
5	T. Jernigan	1	0	1.0	0	0	
5	C. Mosley	1	1	0.0	0	0	
5	T. Walker	1	0	0.0	0	0	
5	L. Webb	1	0	0.0	0	0	
5	C. Davis	0	1	0.0	0	0	
5	E. Dumervil	0	2	0.0	0	0	
6	C. Mosley	6	0	0.0	0	0	
6	D. Smith	6	2	1.0	0	0	
6	L. Guy	5	0	1.0	0	0	
6	E. Dumervil	3	2	0.5	0	0	
6	J. Smith	3	0	0.0	0	0	
6	C. Upshaw	3	2	0.0	0	0	
6	S. Wright	3	1	0.0	0	0	
6	K. Arrington	2	0	0.0	0	0	
6	Z. Smith	2	0	0.0	0	0	
6	B. Williams	2	0	0.0	0	0	
6	W. Hill	1	2	0.0	0	0	
6	T. Jernigan	1	2	0.5	0	0	
6	K. Lewis	1	0	0.0	0	0	
6	K. Lewis-Moore	1	0	0.0	0	0
6	B. Trawick	1	0	0.0	0	0	
7	D. Smith	8	0	0.0	0	0	
7	W. Hill	5	0	0.0	0	0	
7	C. Canty	4	2	0.0	0	0	
7	C. Mosley	4	0	1.0	0	0	
7	S. Wright	4	0	0.0	0	0	
7	L. Guy	3	0	0.0	0	0	
7	Z. Orr	3	0	1.0	0	0	
7	B. Trawick	3	1	0.0	0	0	
7	J. Smith	2	1	0.0	0	0	
7	L. Webb	2	0	0.0	0	0	
7	B. Williams	2	0	0.0	0	0	
7	C. Davis	1	1	0.0	0	0	
7	A. McClellan	1	0	0.0	0	0	
7	C. Upshaw	1	2	0.0	0	0	
7	E. Dumervil	0	1	0.0	0	0	
7	Z. Smith	0	1	0.0	0	0	
8	D. Smith	7	7	0.0	0	0	
8	L. Webb	6	1	0.0	0	0	
8	W. Hill	5	1	0.0	0	0	
8	C. Mosley	4	5	0.0	0	0	
8	E. Dumervil	3	2	0.0	0	0	
8	K. Lewis	3	3	0.0	0	0	
8	J. Smith	3	0	0.0	0	0	
8	L. Guy	2	0	0.0	0	0	
