week	name	rec	yds	td	lg
1	M. Brown	2	25	0	22
1	C. Gillmore	2	23	0	14
1	K. Juszczyk	4	17	0	9
1	M. Williams	1	15	0	15
1	J. Forsett	4	13	0	7
1	S. Smith	2	13	0	10
1	M. Campanaro	1	8	0	8
1	J. Allen	1	4	0	4
1	K. Aiken	1	-1	0	-1
2	S. Smith	10	150	0	37
2	K. Aiken	5	89	0	38
2	C. Gillmore	5	88	2	38
2	M. Brown	2	12	0	7
2	J. Forsett	4	12	0	7
2	L. Taliaferro	3	12	0	6
2	K. Juszczyk	1	11	0	11
2	M. Williams	1	8	0	8
2	J. Allen	1	2	0	2
3	S. Smith	13	186	2	50
3	M. Williams	3	44	0	28
3	C. Gillmore	3	40	0	19
3	M. Brown	2	29	0	21
3	N. Boyle	2	19	0	13
3	J. Forsett	4	16	0	8
3	M. Campanaro	2	11	0	11
3	K. Juszczyk	2	11	0	9
3	L. Taliaferro	1	6	0	6
4	K. Aiken	5	77	1	20
4	S. Smith	4	24	0	11
4	D. Waller	1	17	0	17
4	M. Williams	2	17	0	10
4	M. Campanaro	2	16	0	9
4	N. Boyle	3	12	0	8
4	L. Taliaferro	1	11	0	11
4	M. Brown	2	9	0	8
4	K. Juszczyk	1	3	0	3
5	K. Aiken	4	78	0	48
5	J. Forsett	4	49	0	32
5	K. Juszczyk	3	31	1	15
5	N. Boyle	3	27	0	11
5	J. Ross	2	24	0	18
5	D. Waller	1	1	0	1
5	M. Brown	1	0	0	0
5	M. Williams	1	0	0	0
6	S. Smith	7	137	1	34
6	J. Forsett	7	39	0	11
6	J. Ross	3	34	0	18
6	C. Gillmore	3	30	0	19
6	M. Williams	4	24	0	11
6	K. Aiken	3	22	1	12
6	K. Juszczyk	2	22	0	17
6	C. Givens	2	18	0	11
6	M. Brown	1	9	0	9
6	J. Allen	1	8	0	8
7	S. Smith	5	78	0	29
7	C. Gillmore	5	53	0	23
7	C. Givens	1	31	0	31
7	M. Brown	3	22	0	10
7	N. Boyle	2	20	0	11
7	K. Juszczyk	4	15	1	11
7	J. Allen	1	10	0	10
7	J. Ross	1	9	0	9
7	J. Forsett	3	8	0	4
7	K. Aiken	1	6	0	6
8	S. Smith	5	82	0	46
8	K. Aiken	6	62	0	18
8	C. Givens	3	57	0	39
8	K. Juszczyk	1	39	0	39
8	J. Allen	3	30	0	19
8	J. Ross	3	21	0	12
8	N. Boyle	1	15	0	15
8	C. Gillmore	2	8	1	5
8	J. Forsett	1	5	0	5
10	K. Aiken	7	73	0	29
10	K. Juszczyk	5	47	0	22
10	C. Gillmore	4	42	1	25
10	M. Williams	4	40	1	21
10	C. Givens	4	37	1	14
10	N. Boyle	3	35	0	25
10	J. Butler	1	21	0	21
10	J. Forsett	4	11	0	4
10	M. Brown	1	6	0	6
10	J. Allen	1	4	0	4
11	C. Gillmore	5	101	0	46
11	K. Aiken	5	50	1	18
11	J. Allen	5	48	0	14
11	J. Butler	4	45	0	25
11	C. Givens	2	25	0	20
11	M. Williams	3	20	0	12
11	K. Juszczyk	3	10	0	7
12	K. Aiken	6	80	1	27
12	C. Givens	1	48	0	48
12	J. Allen	4	29	1	13
12	J. Butler	3	27	0	9
12	C. Gillmore	3	20	0	14
12	K. Juszczyk	2	18	0	15
12	N. Boyle	1	10	0	10
13	J. Allen	12	107	1	41
13	C. Givens	3	68	0	36
13	K. Aiken	6	48	0	11
13	J. Butler	4	43	0	22
13	D. Brown	1	17	0	17
13	N. Boyle	3	15	0	7
13	C. Gillmore	1	7	0	7
13	T. West	1	5	0	5
13	K. Juszczyk	1	-2	0	-2
14	K. Aiken	5	90	0	37
14	J. Butler	7	72	0	23
14	D. Brown	5	47	0	31
14	J. Allen	5	44	0	17
14	C. Matthews	1	21	0	21
15	K. Aiken	8	128	1	48
15	J. Butler	3	60	0	41
15	M. Williams	5	31	0	13
15	K. Juszczyk	5	26	1	11
15	C. Givens	1	17	0	17
15	T. West	2	11	0	8
15	C. Matthews	1	6	0	6
15	T. Magee	1	2	0	2
16	K. Aiken	8	66	0	17
16	K. Juszczyk	5	55	0	34
16	C. Givens	2	45	0	39
16	J. Butler	3	38	0	17
16	J. Allen	5	35	0	10
16	C. Matthews	3	19	1	8
16	M. Williams	2	16	0	9
17	K. Aiken	5	76	0	20
17	J. Butler	6	57	0	17
17	M. Williams	6	53	0	15
17	C. Matthews	4	51	0	21
17	J. Allen	6	32	0	13
17	K. Juszczyk	2	18	1	16
17	T. West	1	5	0	5
