week	name	att	yds	td	lg
1	J. Forsett	14	43	0	20
1	J. Allen	9	30	0	8
2	J. Forsett 	15 	68 	0 	16
2	L. Taliaferro 	7 	34 	1 	7
2	J. Allen 	1 	5 	0 	5
2	J. Flacco 	2 	2 	0 	2
3	J. Forsett	10	13	0	5
3	J. Allen	3	12	0	9
3	M. Campanaro	1	8	0	8
3	A. Levine	1	3	0	3
3	L. Taliaferro	3	0	0	1
4	J. Forsett	27	150	0	33
4	J. Allen	5	19	0	12
4	L. Taliaferro	3	13	0	5
4	M. Campanaro	1	9	1	9
4	J. Flacco	3	0	0	0
5	J. Forsett	21	121	1	22
5	J. Allen	8	58	0	44
5	J. Flacco	2	2	2	1
6	J. Forsett	17	62	0	22
6	J. Allen	4	13	0	8
6	J. Ross	1	2	0	2
7	J. Forsett	12	36	1	14
7	J. Allen	3	25	0	15
7	C. Givens	1	-6	0	-6
8	J. Forsett	17	69	0	11
8	J. Flacco	4	2	1	2
8	J. Allen	4	1	0	4
10	J. Forsett	14	53	0	16
10	J. Allen	5	19	0	12
10	J. Flacco	2	17	0	16
11	J. Allen	22	67	0	17
11	J. Forsett	4	26	0	18
11	K. Juszczyk	2	3	0	2
12	J. Allen	12	55	0	21
12	T. West	7	37	0	16
12	M. Schaub	3	10	0	7
12	C. Givens	1	2	0	2
13	J. Allen	17	63	0	16
13	T. West	8	31	0	8
13	M. Schaub	1	0	0	0
14	T. West	5	16	0	17
14	J. Allen	8	14	0	5
14	J. Clausen	1	-2	0	-2
15	T. West	7	35	0	12
15	J. Clausen	5	30	0	8
15	J. Allen	4	18	0	9
15	S. Koch	1	7	0	7
15	T. Magee	2	5	0	4
15	C. Givens	1	-2	0	-2
16	J. Allen	17	77	1	14
16	T. West	14	44	0	15
17	J. Allen	15	38	0	14
17	T. West	5	17	0	7
17	R. Mallett	1	4	0	4
