week	name	rec	yds	td	lg
1	J. Kearse	8	76	0	23
1	J. Graham	6	51	1	19
1	D. Baldwin	7	35	0	8
1	T. Lockett	4	34	0	12
1	M. Lynch	5	31	0	19
1	F. Jackson	1	16	0	16
1	C. Matthews	1	8	0	8
2	D. Baldwin	7	92	1	32
2	L. Willson	2	36	0	24
2	M. Lynch	3	21	0	12
2	T. Lockett	2	17	0	17
2	F. Jackson	2	16	1	11
2	C. Matthews	1	13	0	13
2	J. Graham	1	11	0	11
2	D. Coleman	1	0	0	0
3	J. Graham	7	83	1	30
3	J. Kearse	6	76	0	22
3	D. Baldwin	3	35	0	22
3	R. Lockette	1	23	0	23
3	F. Jackson	2	9	0	5
3	M. Lynch	1	9	0	9
4	J. Kearse	2	84	0	50
4	T. Lockett	4	58	0	23
4	D. Baldwin	3	36	1	24
4	F. Jackson	2	33	0	26
4	J. Graham	4	29	0	13
4	C. Matthews	1	21	0	21
4	L. Willson	2	15	0	9
4	B. Daniels	1	12	0	12
4	T. Rawls	1	-1	0	-1
5	D. Baldwin	3	70	0	46
5	J. Kearse	2	38	1	30
5	J. Graham	3	30	0	22
5	F. Jackson	3	29	0	12
5	T. Lockett	2	29	0	22
5	L. Willson	2	17	0	9
6	J. Graham	8	140	0	45
6	R. Lockette	2	43	1	40
6	D. Baldwin	3	23	0	14
6	L. Willson	1	16	0	16
6	C. Matthews	1	12	0	12
6	F. Jackson	2	7	0	5
6	M. Lynch	1	0	0	0
7	T. Lockett	5	79	1	43
7	J. Kearse	3	64	0	36
7	F. Jackson	4	33	0	18
7	J. Graham	2	31	0	23
7	D. Baldwin	2	19	0	15
7	T. Rawls	2	9	0	5
8	J. Graham	7	75	0	19
8	L. Willson	2	41	1	22
8	T. Lockett	3	36	0	16
8	D. Baldwin	3	35	0	15
8	M. Lynch	2	11	0	10
8	F. Jackson	1	9	0	9
8	R. Lockette	1	3	0	3
10	D. Baldwin	7	134	1	33
10	J. Graham	3	41	0	30
10	P. Richardson	1	40	0	40
10	J. Kearse	1	10	0	10
10	M. Lynch	1	8	0	8
10	T. Lockett	1	7	0	7
11	D. Baldwin	6	60	0	21
11	T. Lockett	4	48	2	24
11	T. Rawls	3	46	1	31
11	J. Graham	3	39	0	20
11	J. Kearse	3	34	0	18
11	L. Willson	2	15	0	10
11	F. Jackson	2	11	0	9
11	C. Helfet	1	7	0	7
12	D. Baldwin	6	145	3	80
12	J. Graham	4	75	0	36
12	J. Kearse	4	47	2	22
12	T. Lockett	3	38	0	16
12	K. Smith	1	21	0	21
12	L. Willson	1	12	0	12
12	F. Jackson	2	7	0	8
13	D. Baldwin	5	94	2	53
13	T. Lockett	7	90	0	29
13	L. Willson	2	36	0	22
13	T. Rawls	3	22	0	9
13	C. Helfet	1	13	0	13
13	F. Jackson	2	13	1	8
13	B. Daniels	1	6	0	6
14	T. Lockett	6	104	2	49
14	D. Baldwin	6	82	3	22
14	J. Kearse	7	74	0	20
14	C. Helfet	2	20	0	17
14	F. Jackson	1	8	0	8
14	L. Willson	1	8	0	8
14	K. Smith	1	5	0	5
