week	name	t	a 	sck	int	ff
1	D. Goldson	6	0	0.0	0	0
1	D. Hall	6	2	0.0	0	0
1	T. Robinson	6	2	0.0	0	0
1	J. Hatcher	3	1	1.0	0	0
1	K. Robinson	3	2	0.0	0	0
1	D. Amerson	2	0	0.0	0	0
1	D. Ihenacho	1	2	0.0	0	0
1	R. Kerrigan	1	1	0.5	0	0
1	T. Knighton	1	0	0.0	0	0
1	P. Riley	1	2	0.0	0	0
1	J. Rogers	1	3	0.0	0	0
1	P. Smith	1	0	1.0	0	1
1	C. Baker	0	3	0.5	0	0
1	C. Culliver	0	1	0.0	0	0
1	T. Murphy	0	3	0.0	0	0
2	T. Robinson 	5	1 	0.0 	0 	0
2	K. Robinson 	4	2 	0.0 	0 	0
2	D. Hall 	3	1 	0.0 	0 	0
2	S. Paea 	3	0 	0.0 	0 	0
2	R. Kerrigan 	2	2 	0.0 	0 	1
2	P. Riley 	2	2 	0.0 	0 	0
2	B. Breeland 	1	0 	0.0 	0 	0
2	W. Compton 	1	1 	0.0 	0 	0
2	D. Goldson 	1	0 	0.0 	0 	0
2	K. Jarrett 	1	1 	0.0 	0 	0
2	R. Jean Francois 	1	0 	0.0 	0 	0
2	T. Murphy 	1	1 	0.0 	0 	0
2	C. Baker 	0	1 	0.0 	0 	0
2	J. Hatcher 	0	1 	0.0 	0 	0
2	T. Knighton 	0	1 	0.0 	0 	0
3	K. Robinson	10	3	0.0	0	0
3	W. Compton	8	3	0.0	0	0
3	D. Goldson	7	3	0.0	0	0
3	C. Baker	5	1	0.0	0	0
3	C. Culliver	4	0	0.0	0	0
3	W. Blackmon	3	0	0.0	0	0
3	D. Hall	3	1	0.0	0	0
3	T. Knighton	3	3	0.0	0	0
3	T. Robinson	3	4	0.0	0	0
3	B. Breeland	2	1	0.0	0	0
3	R. Jean Francois	1	3	0.0	0	0
3	R. Kerrigan	1	0	0.0	0	0
3	S. Paea	1	0	0.0	0	0
3	T. Murphy	0	3	0.0	0	0
4	W. Compton	5	2	0.0	0	0
4	K. Jarrett	5	0	0.0	0	0
4	B. Breeland	4	1	0.0	0	0
4	R. Kerrigan	4	0	1.0	0	0
4	P. Smith	3	0	1.0	0	0
4	C. Baker	2	1	2.0	0	0
4	D. Goldson	2	1	0.0	0	0
4	W. Blackmon	1	0	0.0	0	0
4	C. Culliver	1	0	0.0	0	0
4	T. Murphy	1	1	1.0	0	0
4	S. Paea	1	1	0.0	0	0
4	K. Robinson	1	2	0.0	0	0
4	T. Robinson	1	2	0.0	0	0
4	R. Jean Francois	0	1	0.0	0	0
4	T. Knighton	0	1	0.0	0	0
5	D. Goldson	7	2	0.0	0	0
5	W. Blackmon	6	1	0.0	0	1
5	B. Breeland	6	2	0.0	1	0
5	P. Riley	4	1	0.0	0	0
5	T. Robinson	4	2	0.0	1	0
5	J. Hatcher	3	0	0.0	0	0
5	K. Jarrett	3	0	0.0	0	0
5	R. Kerrigan	3	0	2.0	0	0
5	K. Robinson	3	1	0.0	0	0
5	C. Baker	2	0	1.0	0	2
5	W. Compton	2	0	0.0	0	0
5	T. Knighton	2	0	0.0	0	0
5	T. Murphy	2	2	0.0	0	0
5	P. Smith	2	0	0.0	0	0
5	R. Jean Francois	1	1	0.0	0	0
5	J. Johnson	1	0	0.0	0	0
5	S. Paea	1	0	0.0	0	0
6	D. Goldson	7	6	0.0	0	0
6	K. Jarrett	6	1	0.0	0	1
6	T. Robinson	6	2	0.0	0	0
6	B. Breeland	3	1	0.0	1	1
6	P. Riley	3	5	0.0	0	0
6	K. Robinson	3	7	0.0	0	0
6	C. Baker	2	3	0.0	0	0
6	W. Blackmon	1	0	0.0	0	0
6	J. Hatcher	1	0	0.0	0	0
6	R. Jean Francois	1	1	0.0	0	0
6	T. Knighton	1	2	0.0	0	0
6	W. Compton	0	1	0.0	0	0
6	K. Golston	0	4	0.0	0	0
6	J. Johnson	0	2	0.0	0	0
6	F. Kearse	0	2	0.0	0	0
6	R. Kerrigan	0	1	0.0	0	0
6	T. Murphy	0	1	0.0	0	0
6	P. Smith	0	1	0.0	0	0
7	B. Breeland	7	5	0.0	0	0
7	D. Goldson	6	8	0.0	0	0
7	T. Robinson	5	5	0.0	0	0
7	W. Blackmon	2	0	0.0	0	0
7	W. Compton	2	2	0.0	0	0
7	J. Hatcher	2	1	0.0	0	0
7	J. Jeffcoat	2	0	0.0	0	1
7	K. Robinson	2	6	0.0	0	0
7	P. Smith	2	2	0.0	0	0
7	C. Baker	1	5	0.0	0	0
7	R. Kerrigan	1	0	0.0	0	0
7	T. Knighton	1	1	0.5	0	0
7	P. Riley	1	1	0.0	0	0
7	K. Jarrett	0	1	0.0	0	0
7	R. Jean Francois	0	2	0.0	0	0
7	J. Johnson	0	1	0.0	0	0
7	T. Murphy	0	1	0.0	0	0
7	S. Paea	0	1	0.5	0	0
9	C. Baker	5	2	0.0	0	0
9	D. Goldson	5	4	0.0	0	0
9	J. Johnson	5	1	0.0	0	0
9	W. Compton	4	6	0.0	0	0
9	K. Jarrett	4	3	0.0	0	0
9	T. Robinson	4	0	0.0	0	0
9	K. Robinson	4	3	0.0	1	0
9	W. Blackmon	3	5	0.0	0	1
9	C. Culliver	2	0	0.0	0	0
9	S. Paea	2	1	0.0	0	1
9	R. Jean Francois	1	2	0.0	0	0
9	R. Kerrigan	1	1	0.0	0	0
9	P. Smith	1	0	0.0	0	0
9	B. Breeland	0	1	0.0	0	0
9	K. Golston	0	2	0.0	0	0
9	T. Murphy	0	3	0.0	0	0
10	B. Breeland	6	3	0.0	0	1
10	D. Goldson	5	0	0.0	1	0
10	P. Riley	4	2	0.0	1	0
10	K. Jarrett	3	0	0.0	0	0
10	W. Compton	2	6	0.0	0	0
10	D. Everett	2	1	0.0	0	0
10	W. Blackmon	1	1	0.0	0	0
10	C. Culliver	1	2	0.0	0	0
10	J. Hatcher	1	1	0.0	0	0
10	R. Jean Francois	1	1	0.0	0	0
10	R. Kerrigan	1	1	0.0	0	0
10	T. Knighton	1	0	0.0	0	0
10	T. Murphy	1	4	0.5	0	0
10	S. Paea	1	2	1.0	0	0
10	C. Baker	0	4	0.5	0	0
10	M. Foster	0	1	0.0	0	0
10	K. Golston	0	2	0.0	0	0
10	D. Hall	0	2	0.0	0	0
10	P. Smith	0	1	0.0	0	0
11	B. Breeland	8	3	0.0	0	0
11	C. Culliver	5	0	0.0	0	0
11	P. Riley	5	4	0.0	0	0
11	J. Johnson	3	2	0.0	0	0
11	W. Compton	2	7	0.0	0	0
11	D. Goldson	2	5	0.0	0	0
11	K. Jarrett	2	1	0.0	0	0
11	R. Kerrigan	2	1	1.0	0	0
11	T. Murphy	2	1	0.0	0	0
11	P. Smith	2	1	1.0	0	0
11	C. Baker	1	5	0.0	0	0
11	H. Bates	1	0	0.0	0	0
11	W. Blackmon	1	0	0.0	0	0
11	T. Knighton	1	2	0.0	0	0
11	S. Paea	1	3	0.0	0	0
11	M. Foster	0	1	0.0	0	0
11	R. Jean Francois	0	2	0.0	0	0
