week	name	cmp	att	yds	td	int
1	K. Cousins	21	31	196	1	2
2	K. Cousins 	23	27 	203 1 	0
3	K. Cousins	30	49	316	1	2
4	K. Cousins	31	46	290	1	0
5	K. Cousins	21	32	219	1	2
6	K. Cousins	25	43	196	1	2
6	J. Crowder	0	1	0	0	0
7	K. Cousins	33	40	317	3	0
9	K. Cousins	22	40	217	1	1
10	K. Cousins	20	25	324	4	0
11	K. Cousins	22	30	207	1	1
12	K. Cousins	20	29	302	1	0
13	K. Cousins	22	31	219	1	0
14	K. Cousins	24	31	300	1	1
15	K. Cousins	22	28	319	4	0
16	K. Cousins	31	46	365	4	0
17	K. Cousins	12	15	176	3	0
17	C. McCoy	7	11	128	1	0
