week	name	rec	yds	td	lg
1	P. Garcon	6	74	0	22
1	J. Reed	7	63	1	25
1	A. Roberts	3	36	0	18
1	R. Grant	1	15	0	15
1	D. Carrier	2	8	0	9
1	J. Crowder	1	0	0	0
1	D. Young	1	0	0	0
2	J. Reed 	6 	82 	0 	29
2	R. Grant 	3 	45 	0 	35
2	P. Garcon 	6 	23 	1 	6
2	M. Jones 	3 	23 	0 	18
2	A. Morris 	2 	13 	0 	9
2	C. Thompson 1 	10 	0 	10
2	J. Crowder 	1 	7 	0 	7
2	A. Roberts 	1 	0 	0 	0
3	J. Reed	6	96	0	26
3	P. Garcon	5	64	0	19
3	C. Thompson	8	57	1	14
3	J. Crowder	6	45	0	15
3	R. Ross	2	27	0	20
3	A. Roberts	1	18	0	18
3	R. Grant	2	9	0	6
4	J. Crowder	7	65	0	22
4	P. Garcon	7	55	1	14
4	R. Grant	5	45	0	16
4	R. Ross	1	43	0	43
4	J. Reed	5	37	0	15
4	C. Thompson	2	24	0	19
4	D. Carrier	2	18	0	15
4	A. Morris	2	3	0	2
5	J. Crowder	8	87	0	26
5	P. Garcon	3	51	0	21
5	C. Thompson	6	33	0	14
5	D. Carrier	2	27	1	20
5	M. Jones	1	17	0	17
5	R. Grant	1	4	0	4
6	J. Crowder	4	40	0	18
6	D. Carrier	4	39	0	20
6	P. Garcon	5	28	1	12
6	C. Thompson	6	26	0	13
6	R. Grant	2	22	0	16
6	R. Ross	1	16	0	16
6	A. Morris	1	11	0	11
6	D. Young	1	8	0	8
6	A. Roberts	1	6	0	6
7	J. Reed	11	72	2	13
7	P. Garcon	5	55	0	21
7	R. Grant	3	54	1	32
7	A. Roberts	3	49	0	38
7	J. Crowder	5	48	0	18
7	M. Jones	3	22	0	12
7	D. Carrier	2	15	0	9
7	A. Morris	1	2	0	2
9	P. Garcon	4	70	0	36
9	J. Crowder	6	50	0	16
9	A. Roberts	2	26	0	18
9	C. Thompson	2	21	0	13
9	J. Reed	3	18	1	9
9	M. Jones	2	17	0	12
9	D. Jackson	3	15	0	9
10	M. Jones	3	131	1	78
10	J. Crowder	4	60	1	31
10	D. Jackson	2	44	0	42
10	J. Reed	3	29	2	16T
10	C. Thompson	1	23	0	23
10	D. Carrier	1	14	0	14
10	A. Morris	3	14	0	7
10	P. Garcon	2	10	0	7
10	D. Young	1	-1	0	-1
11	D. Jackson	5	87	1	56
11	J. Reed	6	46	0	13
11	P. Garcon	3	43	0	17
11	M. Jones	2	12	0	7
11	D. Carrier	2	7	0	5
11	C. Thompson	3	7	0	6
11	J. Crowder	1	5	0	5
12	J. Reed	8	98	0	26
12	D. Jackson	2	66	1	63
12	M. Jones	1	45	0	45
12	P. Garcon	3	35	0	16
12	R. Grant	1	19	0	19
12	J. Crowder	2	12	0	9
12	A. Morris	1	12	0	12
12	C. Thompson	1	9	0	9
12	D. Carrier	1	6	0	6
13	D. Jackson	6	80	1	28
13	P. Garcon	5	54	0	23
13	J. Reed	3	33	0	16
13	J. Crowder	3	29	0	20
13	C. Thompson	4	18	0	9
13	M. Jones	1	5	0	5
14	J. Reed	9	120	1	32
14	P. Garcon	5	52	0	19
14	D. Jackson	2	43	0	29
14	R. Ross	2	27	0	17
14	M. Jones	2	24	0	18
14	J. Crowder	1	13	0	13
14	P. Thomas	1	12	0	12
14	D. Carrier	1	7	0	7
14	D. Young	1	2	0	2
15	D. Jackson	6	153	1	77
15	J. Reed	7	84	2	24
15	P. Garcon	3	34	1	18
15	J. Crowder	3	21	0	12
15	R. Grant	1	13	0	13
15	M. Jones	1	8	0	8
15	D. Young	1	6	0	6
16	J. Reed	9	129	2	28
16	P. Garcon	7	80	1	25
16	P. Thomas	7	67	0	15
16	D. Jackson	4	40	0	22
16	R. Grant	1	24	0	24
16	J. Crowder	2	13	0	7
16	C. Thompson	1	12	1	12
17	J. Crowder	5	109	1	44
17	R. Ross	2	71	1	71T
17	P. Garcon	3	49	1	39
17	J. Reed	4	45	0	26
17	R. Grant	3	18	1	11
17	D. Young	1	7	0	7
17	P. Thomas	1	5	0	5
