week	name	att	yds	td	lg
1	A. Morris	25	121	0	14
1	M. Jones	6	28	0	9
1	C. Thompson	3	11	0	7
1	J. Crowder	1	2	0	2
1	K. Cousins	2	-1	0	0
2	M. Jones	19	123	2	39
2	A. Morris	18	59	0	35
3	M. Jones	11	38	0	10
3	C. Thompson	2	29	0	26
3	A. Morris	6	19	0	7
3	D. Young	1	2	0	2
4	A. Morris	17	62	0	16
4	C. Thompson	6	53	0	42
4	M. Jones	7	11	0	7
4	K. Cousins	1	1	1	1
4	D. Young	1	0	0	0
5	M. Jones	11	20	1	7
5	A. Morris	8	15	0	4
5	C. Thompson	3	15	0	9
5	K. Cousins	1	1	0	1
5	J. Crowder	1	0	0	0
6	A. Morris	11	21	0	6
6	C. Thompson	5	12	0	8
6	K. Cousins	1	1	0	1
7	M. Jones	9	29	0	11
7	K. Cousins	3	15	1	8
7	A. Morris	6	5	0	5
7	D. Young	1	1	0	1
9	M. Jones	11	27	0	10
9	A. Morris	4	10	0	4
10	A. Morris	15	92	0	28
10	M. Jones	11	56	0	20
10	C. Thompson	2	54	0	38
10	D. Young	3	7	0	5
11	C. Thompson	4	10	0	6
11	K. Cousins	1	4	0	4
11	M. Jones	5	0	0	2
11	A. Morris	2	0	0	2
12	A. Morris	23	78	0	9
12	M. Jones	8	19	0	12
12	C. Thompson	2	7	0	8
12	K. Cousins	4	1	1	1
13	M. Jones	18	49	0	10
13	A. Morris	6	12	0	3
13	K. Cousins	1	6	0	6
13	C. Thompson	1	6	0	6
14	M. Jones	18	62	0	11
14	A. Morris	11	24	1	5
14	K. Cousins	4	13	1	9
15	A. Morris	14	84	0	48
15	M. Jones	10	28	0	13
15	K. Cousins	3	11	1	13
16	A. Morris	17	49	0	8
16	P. Thomas	4	22	0	9
16	K. Cousins	5	-4	0	0
17	A. Morris	19	100	0	23
17	P. Thomas	7	30	0	11
17	C. Thompson	7	19	0	8
17	C. McCoy	3	-3	0	-1
