week1	name	att	yds	td	lg
1	M. Lynch	18	73	0	24
1	R. Wilson	8	31	0	10
1	F. Jackson	3	13	0	7
1	T. Rawls	2	5	0	4
1	D. Coleman	1	2	0	2
2	R. Wilson	10	78	0	17
2	M. Lynch	15	41	0	11
3	T. Rawls	16	104	0	21
3	R. Wilson	6	28	0	13
3	M. Lynch	5	14	0	8
3	F. Jackson	2	13	0	8
4	T. Rawls	17	48	0	10
4	R. Wilson	10	40	0	15
4	F. Jackson	3	21	0	16
4	T. Lockett	1	1	0	1
5	T. Rawls	23	169	1	69
5	R. Wilson	3	21	0	9
5	F. Jackson	2	5	0	5
5	R. Smith	2	5	0	3
6	M. Lynch	17	54	1	17
6	R. Wilson	8	53	0	24
6	T. Rawls	1	8	0	8
7	M. Lynch	27	122	1	17
7	T. Rawls	6	32	0	17
7	R. Wilson	7	20	0	9
7	F. Jackson	1	2	0	2
8	M. Lynch	21	71	0	12
8	R. Wilson	6	32	0	10
8	T. Rawls	4	10	0	7
10	R. Wilson	6	52	0	20
10	M. Lynch	8	42	1	16
10	T. Rawls	2	19	0	13
10	W. Tukuafu	2	2	1	1
11	T. Rawls	30	209	1	30
11	R. Wilson	9	30	0	8
11	F. Jackson	4	11	0	5
11	T. Lockett	1	5	0	5
12	T. Rawls	21	81	1	17
12	R. Wilson	4	14	0	10
12	F. Jackson	1	4	0	4
12	D. Coleman	1	1	0	1
13	T. Rawls	19	101	1	20
13	R. Wilson	9	51	1	14
13	D. Harris	3	7	0	3
13	T. Lockett	1	7	0	7
13	F. Jackson	1	5	0	5
13	W. Tukuafu	1	4	0	4
13	T. Jackson	2	-2	0	-1
14	T. Rawls	6	44	0	16
14	D. Harris	18	42	0	6
14	D. Coleman	1	19	0	19
14	F. Jackson	7	15	0	5
14	R. Wilson	1	6	0	6
14	T. Jackson	3	-3	0	-1
15	C. Michael	16	84	0	10
15	R. Wilson	5	46	0	16
15	B. Brown	9	43	0	18
15	D. Coleman	5	10	0	6
15	T. Jackson	1	-1	0	-1
16	R. Wilson	6	38	0	20
16	F. Jackson	2	11	0	7
16	B. Brown	7	9	0	4
16	C. Michael	6	6	0	5
16	W. Tukuafu	1	-5	0	-5
17	C. Michael	17	102	0	45
17	B. Brown	9	20	1	5
17	R. Wilson	5	13	0	9
17	T. Lockett	2	7	0	8
17	K. Williams	1	5	0	5
17	T. Jackson	2	-2	0	-1
