week	name	t	a	sck	int	ff
1	D. Swann	6	0	0.0	0	0
1	D. Breaux	4	1	0.0	0	0
1	J. Jenkins	4	1	0.0	0	0
1	H. Kikaha	4	1	0.0	0	1
1	S. Anthony	3	1	0.0	0	0
1	B. Richardson	3	0	0.0	0	0
1	R. Bush	2	0	0.0	0	0
1	R. Humber	2	0	0.0	0	0
1	C. Jordan	2	0	0.0	0	0
1	K. Vaccaro	2	0	0.0	0	0
1	B. Browner	1	0	0.0	0	0
1	D. Hawthorne	1	1	0.0	0	0
1	J. Sanford	1	0	0.0	0	0
1	K. Williams	1	0	0.0	0	0
2	K. Vaccaro	6	3	0.0	0	0
2	K. Phillips	5	3	0.0	0	0
2	D. Hawthorne	4	1	0.0	0	0
2	H. Kikaha	4	3	1.0	0	1
2	S. Anthony	3	4	0.0	0	0
2	K. Edebali	3	0	1.0	0	0
2	D. Swann	3	1	0.0	0	0
2	R. Humber	2	2	0.0	0	0
2	C. Jordan	2	1	1.0	0	0
2	K. Williams	2	0	0.0	0	1
2	D. Breaux	1	0	0.0	0	0
2	B. Browner	1	2	0.0	0	0
2	J. Jenkins	1	1	0.0	0	0
2	K. Wilson	1	0	0.0	0	0
2	A. Hicks	0	1	0.0	0	0
2	B. Richardson	0	2	0.0	0	0
3	B. Browner	6	1	0.0	0	0
3	R. Humber	4	5	0.0	0	0
3	H. Kikaha	4	2	1.0	0	0
3	K. Vaccaro	4	5	0.0	0	0
3	S. Anthony	3	2	0.0	0	0
3	D. Hawthorne	3	5	0.0	0	0
3	K. Phillips	2	1	0.0	0	0
3	D. Swann	2	1	0.0	0	0
3	T. Barnes	1	0	0.0	0	0
3	K. Edebali	1	0	0.0	0	0
3	C. Jordan	1	1	0.0	0	0
3	D. Breaux	0	1	0.0	0	0
3	A. Hicks	0	1	0.0	0	0
3	J. Jenkins	0	4	0.0	0	0
3	B. Richardson	0	4	0.0	0	0
3	K. Williams	0	1	0.0	0	0
4	S. Anthony	5	2	1.0	0	0
4	B. Browner	5	1	0.0	0	0
4	H. Kikaha	4	4	1.0	0	0
4	D. Swann	4	0	0.0	0	0
4	D. Breaux	2	0	0.0	0	0
4	J. Byrd	2	2	0.0	0	0
4	T. Davison	2	2	1.0	0	0
4	D. Hawthorne	2	1	0.0	0	0
4	B. Richardson	2	4	0.0	0	0
4	K. Vaccaro	2	1	0.0	0	0
4	J. Jenkins	1	2	0.0	0	0
4	C. Jordan	1	0	0.0	0	0
4	K. Phillips	1	0	0.0	0	0
4	D. Ellerbe	0	1	0.0	0	0
4	K. Williams	0	2	0.0	0	0
5	S. Anthony	9	0	0.0	0	0
5	K. Vaccaro	9	2	0.0	0	0
5	B. Browner	7	0	0.0	1	0
5	D. Ellerbe	7	0	0.0	0	0
5	D. Breaux	5	0	0.0	1	0
5	D. Hawthorne	3	1	0.0	0	0
5	C. Jordan	3	0	0.0	0	0
5	J. Sanford	3	0	0.0	0	0
5	J. Byrd	2	1	0.0	0	0
5	J. Jenkins	2	0	0.0	0	0
5	K. Wilson	2	0	0.0	0	0
5	T. Barnes	1	0	0.0	0	0
5	B. Dixon	1	0	0.0	0	0
5	K. Edebali	1	0	0.0	0	0
5	R. Humber	1	0	0.0	0	0
5	H. Kikaha	1	0	0.0	0	0
5	K. Lewis	1	0	0.0	0	0
5	K. Williams	1	0	0.0	0	0
5	T. Davison	0	1	0.0	0	0
6	D. Ellerbe	12	1	0.0	0	1
6	H. Kikaha	6	1	1.0	0	1
6	B. Browner	5	2	0.0	0	0
6	C. Jordan	5	1	3.0	0	1
6	S. Anthony	4	2	0.0	0	0
6	D. Breaux	2	1	0.0	0	0
6	J. Byrd	2	1	0.0	0	0
6	R. Humber	2	2	0.0	0	0
6	K. Lewis	2	0	0.0	0	0
6	K. Vaccaro	2	3	0.0	0	0
6	B. Dixon	1	0	0.0	0	0
6	K. Edebali	1	0	1.0	0	0
6	K. Williams	1	0	0.0	0	0
7	D. Ellerbe	7	0	0.0	0	0
7	S. Anthony	5	2	0.0	1	0
7	K. Vaccaro	5	0	1.0	0	0
7	J. Byrd	3	0	0.0	0	0
7	D. Breaux	2	0	0.0	0	0
7	B. Dixon	2	0	0.0	0	0
7	C. Jordan	2	0	2.0	0	0
7	H. Kikaha	2	0	0.0	0	0
7	K. Wilson	2	0	0.0	1	0
7	B. Browner	1	0	0.0	0	0
7	B. Richardson	1	1	0.5	0	0
