week	name	rec	yds	td	lg
1	M. Ingram	8	98	0	59
1	W. Snead	1	63	0	63
1	K. Robinson	5	51	0	22
1	B. Cooks	4	49	0	30
1	B. Coleman	4	41	1	19
1	M. Colston	3	29	0	14
1	B. Watson	3	19	0	8
1	A. Johnson	2	5	0	3
2	M. Colston	4	69	0	24
2	B. Cooks	5	62	0	21
2	W. Snead	4	44	1	16
2	B. Coleman	3	33	0	22
2	C. Spiller	1	19	0	19
2	B. Watson	2	12	0	8
2	K. Robinson	1	9	0	9
2	M. Ingram	3	5	0	6
2	J. Hill	1	2	0	2
3	B. Cooks	7	79	0	16
3	M. Ingram	5	49	0	23
3	M. Colston	4	47	0	22
3	W. Snead	5	44	0	15
3	B. Watson	4	42	0	20
3	C. Spiller	2	22	0	19
3	J. Hill	1	10	0	10
3	B. Coleman	1	9	0	9
3	K. Robinson	2	8	0	4
4	C. Spiller	5	99	1	80
4	W. Snead	6	89	0	20
4	M. Ingram	6	51	0	14
4	B. Coleman	1	30	0	30
4	B. Watson	3	30	0	21
4	B. Cooks	4	25	0	13
4	M. Colston	4	19	0	7
4	J. Hill	2	11	1	8
4	K. Robinson	2	5	0	9
5	W. Snead	6	141	0	59
5	B. Cooks	5	107	1	46
5	M. Colston	3	36	0	17
5	B. Watson	3	36	1	21
5	M. Ingram	2	17	0	13
5	M. Hoomanawanui	2	4	0	7
5	K. Robinson	2	2	0	1
5	C. Spiller	3	-8	0	0
6	B. Watson	10	127	1	28
6	W. Snead	4	55	0	24
6	B. Cooks	4	41	0	26
6	J. Hill	3	38	0	19
6	K. Robinson	2	24	0	18
6	C. Spiller	4	17	0	8
6	M. Ingram	3	10	0	7
7	B. Cooks	6	81	0	47
7	B. Watson	4	59	0	25
7	C. Spiller	6	32	0	17
7	M. Hoomanawanui	5	31	1	16
7	W. Snead	3	25	0	11
7	B. Coleman	1	24	0	24
7	M. Colston	1	20	0	20
7	M. Ingram	2	5	0	10
7	K. Robinson	1	3	0	3
8	B. Watson	9	147	1	46
8	M. Colston	8	114	1	53
8	B. Cooks	6	88	2	26
8	W. Snead	6	70	2	34
8	M. Ingram	4	39	0	17
8	C. Spiller	2	15	1	9
8	B. Coleman	1	14	0	14
8	K. Robinson	2	13	0	8
8	J. Hill	1	5	0	5
9	W. Snead	6	95	0	32
9	B. Cooks	4	71	1	38
9	B. Watson	5	60	0	19
9	B. Coleman	2	58	0	30
9	M. Ingram	4	42	0	14
9	M. Colston	3	37	0	16
9	J. Hill	2	21	1	11
9	C. Spiller	1	2	0	2
9	M. Hoomanawanui	1	1	1	1
10	B. Cooks	5	98	2	60
10	T. Graham	2	25	0	18
10	M. Colston	3	22	0	10
10	M. Ingram	3	21	0	12
10	B. Watson	3	19	0	8
10	B. Coleman	1	14	0	14
10	C. Spiller	2	10	0	7
12	B. Watson	4	53	0	26
12	W. Snead	4	50	0	24
12	M. Ingram	6	45	0	17
12	M. Colston	3	38	0	19
12	B. Cooks	5	35	0	11
12	C. Spiller	2	8	0	7
12	T. Graham	1	-1	0	-1
13	B. Cooks	6	104	1	54
13	B. Coleman	4	73	1	31
13	B. Watson	4	38	1	14
13	M. Ingram	4	23	0	11
13	M. Hoomanawanui	1	19	0	19
13	M. Colston	1	14	0	14
13	J. Hill	2	11	0	7
13	T. Graham	1	0	0	0
13	C. Spiller	1	0	0	0
14	W. Snead	7	122	0	41
14	B. Watson	7	70	0	26
14	M. Colston	6	36	2	12
14	B. Coleman	3	32	0	20
14	B. Cooks	3	29	0	14
14	T. Hightower	1	10	0	10
14	C. Spiller	3	7	0	8
14	J. Hill	1	6	0	6
15	B. Cooks	10	124	1	28
15	W. Snead	10	76	0	15
15	B. Watson	6	49	1	11
15	M. Colston	2	39	1	28
15	T. Hightower	3	31	0	18
15	C. Spiller	2	16	0	14
15	A. Johnson	1	6	0	6
16	B. Cooks	5	123	1	71
16	W. Snead	4	75	0	36
16	T. Cadet	3	69	1	44
16	T. Hightower	3	47	0	27
16	B. Coleman	4	45	0	21
16	A. Johnson	2	19	0	12
16	M. Hoomanawanui	1	17	1	17
16	J. Hill	2	12	0	6
16	B. Watson	1	5	0	5
17	B. Coleman	5	81	0	22
17	T. Cadet	6	77	0	36
17	B. Watson	6	59	1	22
17	T. Hightower	5	41	0	21
17	W. Snead	3	35	0	22
17	B. Cooks	5	22	0	12
17	J. Hill	1	4	0	4
17	M. Hoomanawanui	1	4	0	4
