week	name	att	yds	td	lg
1	M. Ingram	9	24	0	9
1	K. Robinson	8	19	0	6
1	B. Cooks	1	4	0	4
1	A. Johnson	1	4	0	4
1	D. Brees	1	3	0	3
2	M. Ingram	16	53	1	11
2	K. Robinson	5	48	0	14
2	C. Spiller	3	7	0	7
2	A. Johnson	1	1	1	1
2	D. Brees	1	-1	0	-1
2	B. Cooks	1	-4	0	-4
3	M. Ingram	14	50	1	9
3	K. Robinson	7	12	1	8
3	A. Johnson	2	4	0	3
3	C. Spiller	1	4	0	4
3	L. McCown	0	0	0	0
4	M. Ingram	17	77	0	15
4	K. Robinson	6	16	1	8
4	C. Spiller	2	10	0	10
5	M. Ingram	12	57	0	17
5	K. Robinson	5	30	0	12
5	C. Spiller	3	10	0	8
5	D. Brees	1	-1	0	-1
6	M. Ingram	20	46	2	11
6	K. Robinson	7	23	0	10
6	C. Spiller	3	10	0	7
6	D. Brees	2	2	0	3
7	M. Ingram	14	143	1	44
7	K. Robinson	14	28	2	6
7	C. Spiller	4	16	0	9
7	D. Brees	4	-4	0	-1
8	M. Ingram	16	80	0	16
8	C. Spiller	4	21	0	11
8	K. Robinson	4	4	0	3
8	D. Brees	1	1	0	1
8	B. Cooks	1	-3	0	-3
9	M. Ingram	22	54	0	12
9	C. Spiller	2	8	0	5
9	D. Brees	3	-1	1	1
10	M. Ingram	5	77	0	70
10	T. Hightower	11	46	0	9
10	C. Spiller	8	24	0	7
10	B. Cooks	1	11	0	11
12	M. Ingram	9	52	0	29
12	C. Spiller	1	-2	0	-2
13	M. Ingram	12	56	1	14
13	D. Brees	1	12	0	12
13	T. Hightower	1	2	0	2
14	T. Hightower	28	85	1	12
14	C. Spiller	3	2	0	2
14	D. Brees	3	0	0	2
14	M. Murphy	1	0	0	0
15	T. Hightower	13	54	0	17
15	D. Brees	1	11	0	11
15	K. Hunter	1	2	0	2
15	C. Spiller	2	2	0	2
15	M. Hoomanawanui	1	0	0	0
16	T. Hightower	27	122	2	26
16	B. Cooks	4	10	0	5
16	T. Cadet	1	6	0	6
16	D. Brees	3	-3	0	0
17	T. Hightower	16	66	1	11
17	T. Cadet	3	6	0	6
17	D. Brees	3	-5	0	-1
