week	name	t	a	sck	int	ff
1	E. Thomas	6	3	0	0	1
1	B. Wagner	5	2	0	0	0
1	M. Bennett	4	0	1	0	0
1	D. Bailey	3	1	0	0	0
1	C. Williams	3	0	1	0	1
1	K. Wright	3	1	0	0	0
1	C. Avril	2	0	0	0	0
1	B. Irvin	2	2	0	0	0
1	A. Rubin	2	1	0	0	0
1	R. Sherman	2	1	0	0	0
1	J. Hill	1	0	0	0	0
1	C. Marsh	1	1	0	0	0
1	B. Mebane	1	0	0	0	0
2	M. Burley	7	0	0	0	0
2	B. Wagner	6	6	0	0	0
2	K. Wright	6	3	0	0	1
2	D. Shead	5	3	0	0	0
2	J. Hill	4	2	0	0	0
2	E. Thomas	4	1	0	0	0
2	A. Rubin	3	1	0	0	0
2	C. Avril	2	1	0	0	0
2	B. Mebane	2	3	0	0	0
2	C. Williams	2	1	0	0	0
2	M. Bennett	1	1	1	0	0
2	B. Irvin	1	0	1	0	0
2	K. Pierre-Louis	0	1	0	0	0
3	K. Wright	5	5	0	0	0
3	M. Bennett	2	2	0	0	0
3	M. Burley	2	1	0	0	0
3	F. Clark	2	0	0	0	0
3	J. Hill	2	2	0	0	0
3	D. Shead	2	1	0	0	0
3	B. Wagner	2	5	0.5	0	0
3	C. Williams	2	2	0	0	0
3	C. Avril	1	2	1	0	0
3	A. Rubin	1	2	0	0	0
3	R. Sherman	1	0	0	0	0
3	K. Chancellor	0	1	0	0	0
3	D. Dobbs	0	3	0	0	0
3	B. Irvin	0	5	0.5	0	0
3	C. Marsh	0	1	0	0	0
4	K. Chancellor	6	1	0	0	1
4	B. Wagner	4	4	0	0	0
4	B. Irvin	3	1	0	0	0
4	R. Sherman	3	2	0	0	0
4	C. Williams	3	0	0	0	0
4	C. Avril	2	2	0	0	0
4	M. Bennett	2	3	0	0	0
4	E. Thomas	2	3	0	0	0
4	K. Wright	2	2	0	0	0
4	F. Clark	1	0	0	0	0
4	C. Marsh	1	0	0	0	0
4	D. Shead	1	0	0	0	0
4	J. Hill	0	5	0	0	0
4	D. King	0	1	0	0	0
4	A. Rubin	0	1	0	0	0
5	K. Chancellor	8	3	0	0	0
5	R. Sherman	6	2	0	0	0
5	K. Wright	6	0	0	0	0
5	M. Bennett	5	1	1	0	1
5	B. Wagner	5	2	0	0	0
5	C. Avril	4	2	1	0	0
5	D. Shead	4	1	1	0	0
5	B. Irvin	3	1	0	0	0
5	A. Rubin	3	1	1	0	0
5	C. Williams	3	1	0	0	0
5	C. Marsh	2	1	0	0	0
5	B. Mebane	2	0	0	0	0
5	E. Thomas	2	0	0	1	0
5	J. Hill	1	1	0	0	0
6	K. Chancellor	6	4	0	1	0
6	B. Irvin	4	1	2	0	0
6	C. Williams	4	3	0	0	0
6	K. Pierre-Louis	3	8	0	0	0
6	D. Shead	3	0	0	0	0
6	K. Wright	3	9	0	0	0
6	C. Avril	2	1	0	0	0
6	D. Dobbs	2	0	0	0	0
6	R. Sherman	2	2	0	0	0
6	E. Thomas	2	2	0	1	0
6	M. Bennett	1	1	0	0	0
6	M. Morgan	1	0	1	0	0
6	C. Marsh	0	2	0	0	0
6	B. Mebane	0	1	0	0	0
6	A. Rubin	0	2	0	0	0
7	B. Wagner	5	0	0	0	0
7	C. Avril	4	1	1.5	0	1
7	M. Bennett	4	1	3.5	0	0
7	E. Thomas	3	2	0	0	0
7	K. Wright	3	1	0	0	0
7	K. Chancellor	2	1	0	0	0
7	F. Clark	2	0	0	0	0
7	D. Shead	2	0	0	0	0
7	R. Sherman	2	1	0	0	0
7	C. Williams	2	1	0	0	0
7	B. Irvin	1	0	0	0	0
7	D. King	1	1	0.5	0	0
7	C. Marsh	1	0	0	0	0
7	B. Mebane	0	1	0.5	0	0
8	K. Wright	6	3	0	0	0
8	K. Chancellor	5	1	0	0	0
8	E. Thomas	4	1	0	0	0
8	B. Wagner	4	1	0	0	0
8	C. Williams	4	1	0	0	0
8	C. Avril	3	1	0	0	0
8	M. Bennett	2	1	0	0	0
8	C. Marsh	2	0	0	0	0
8	A. Rubin	2	2	0	0	0
8	F. Clark	1	0	0	0	0
8	J. Hill	1	0	0	0	0
8	B. Irvin	1	0	1	0	0
8	D. Shead	1	1	0	0	0
8	R. Sherman	1	0	0	0	0
10	K. Chancellor	5	12	0	0	0
10	E. Thomas	4	0	0	1	0
10	B. Wagner	4	7	0	0	0
10	C. Williams	4	5	0	0	0
10	K. Wright	4	5	1	0	1
10	C. Avril	3	2	1	0	1
10	A. Rubin	3	0	1	0	0
10	R. Sherman	3	2	0	0	0
10	F. Clark	2	0	0	0	0
10	D. Dobbs	1	0	0	0	0
10	J. Hill	1	0	0	0	0
10	B. Irvin	1	4	0	0	0
10	C. Marsh	1	0	0	0	0
10	D. Shead	1	0	0	0	0
10	M. Bennett	0	2	0	0	0
10	B. Mebane	0	1	0	0	0
11	K. Chancellor	3	2	0	0	0
11	D. Dobbs	3	1	0	0	0
11	D. Shead	3	0	0	0	0
11	B. Wagner	3	5	0	0	0
11	C. Williams	3	2	0	0	0
11	C. Avril	2	1	2	0	0
11	M. Morgan	2	2	0	0	0
11	R. Sherman	2	2	0	0	0
11	K. Wright	2	4	0	0	1
11	M. Burley	1	0	0	0	0
11	C. Marsh	1	0	0	0	0
11	E. Thomas	1	4	0	0	0
11	M. Bennett	0	1	0	0	0
11	F. Clark	0	1	0	0	0
11	J. Hill	0	2	0	0	0
11	A. Rubin	0	1	0	0	0
12	D. Shead	8	2	0	0	0
12	B. Wagner	7	5	0	0	1
12	E. Thomas	6	0	0	0	0
12	K. Wright	4	2	0	0	0
12	C. Avril	2	0	1	0	0
12	M. Burley	2	0	0	0	0
12	K. Chancellor	2	3	0	1	0
12	M. Morgan	2	2	0	0	0
12	R. Sherman	2	3	0	1	0
12	F. Clark	1	0	1	0	0
12	J. Lane	1	1	0	1	0
12	M. Bennett	0	2	0	0	0
12	B. Irvin	0	2	0	0	0
12	C. Marsh	0	1	0	0	0
12	B. Mebane	0	2	0	0	0
12	A. Rubin	0	1	0	1	0
13	K. Wright	9	1	0	0	0
13	B. Wagner	7	0	0	0	0
13	K. Chancellor	5	2	0	0	0
13	M. Bennett	3	1	1	0	0
13	B. Irvin	3	0	1	0	1
13	F. Clark	2	0	2	0	0
13	C. Marsh	2	0	0	0	0
13	D. Shead	2	0	0	0	0
13	K. McCray	1	0	0	0	0
13	A. Rubin	1	0	0	0	0
13	R. Sherman	1	0	0	0	0
13	E. Thomas	1	1	0	1	0
14	K. Wright	5	3	0	0	0
14	E. Thomas	4	0	0	0	0
14	M. Bennett	3	1	1	0	0
14	K. McCray	3	0	0	0	0
14	J. Lane	2	0	0	0	0
14	B. Mebane	2	1	0	0	0
14	D. Shead	2	1	0	0	0
14	R. Sherman	2	0	0	1	0
14	B. Wagner	2	4	0	0	0
14	C. Avril	1	1	0	0	0
14	M. Burley	1	0	0	0	0
14	F. Clark	1	0	0	0	1
14	B. Irvin	1	0	0	0	0
14	C. Marsh	1	0	0	0	0
14	A. Francis	0	1	0	0	0
14	A. Rubin	0	2	0	0	0
15	K. McCray	5	3	0	0	0
15	M. Bennett	4	1	1	0	1
15	J. Lane	4	0	0	0	0
15	K. Wright	4	3	0	0	0
15	M. Burley	2	0	1	1	0
15	F. Clark	2	0	0	0	0
15	B. Mebane	2	1	1	0	0
15	E. Thomas	2	1	0	0	0
15	B. Wagner	2	4	0	0	1
15	C. Avril	1	0	0	0	0
15	A. Rubin	1	0	0	0	0
15	D. Shead	1	0	0	0	0
15	R. Sherman	1	1	0	0	0
16	B. Wagner	9	2	0	0	0
16	K. McCray	5	5	0	0	0
16	B. Mebane	4	0	0	0	0
16	K. Wright	4	2	0	0	1
16	J. Lane	2	0	0	0	0
16	A. Rubin	2	2	0	0	0
16	D. Shead	2	2	0	0	1
16	R. Sherman	2	1	0	0	0
16	C. Avril	1	1	0	0	0
16	M. Bennett	1	0	0	0	0
16	B. Irvin	1	0	0	0	0
16	E. Thomas	1	1	0	0	0
17	K. Wright	5	1	0	0	0
17	R. Sherman	3	0	0	0	0
17	B. Coyle	2	1	0	0	0
17	J. Hill	2	0	0	0	0
17	K. McCray	2	1	0	0	0
17	M. Morgan	2	0	0	0	0
17	A. Rubin	2	0	0	0	0
17	B. Wagner	2	0	0	0	0
17	C. Avril	1	1	1.5	0	0
17	M. Bennett	1	1	0.5	0	0
17	M. Burley	1	0	0	0	0
17	F. Clark	1	0	0	0	0
17	D. Dobbs	1	0	0	0	0
17	B. Irvin	1	0	0	0	0
17	J. Lane	1	0	0	1	0
17	B. Mebane	1	0	0	0	0
17	D. Shead	1	0	0	1	0
17	S. Terrell	1	0	0	0	0
17	E. Thomas	0	0	0	1	0
