week	name	cmp	att	yds	td	int
1	R. Wilson	32	41	251	1	1
2	R. Wilson	19	30	206	2	1
3	R. Wilson	20	30	235	1	0
4	R. Wilson	20	26	287	1	0
5	R. Wilson	15	23	213	1	1
6	R. Wilson	18	30	241	1	0
7	R. Wilson	18	24	235	1	2
8	R. Wilson	19	30	210	1	1
10	R. Wilson	14	32	240	1	1
11	R. Wilson	24	29	260	3	0
12	R. Wilson	21	30	345	5	0
13	R. Wilson	21	27	274	3	0
13	T. Jackson	0	1	0	0	0	
14	R. Wilson	23	32	292	5	0
14	T. Jackson	1	1	9	0	0
15	R. Wilson	21	30	249	3	0
16	R. Wilson	25	41	289	2	1
17	R. Wilson	19	28	197	3	0
17	T. Jackson	3	4	28	0	0
