week	name	t	a	sck	int	ff
1	W. Allen	8	0	1.0	0	0
1	R. Shazier	5	2	0.0	0	0
1	W. Gay	4	0	0.0	0	0
1	C. Allen	3	3	0.0	0	0
1	M. Mitchell	3	1	0.0	0	1
1	A. Blake	2	1	0.0	0	0
1	B. Dupree	2	0	1.0	0	0
1	J. Harrison	2	2	0.0	0	0
1	L. Timmons	2	1	0.0	0	0
1	R. Golden	1	1	0.0	0	0
1	C. Heyward	1	3	0.0	0	0
1	D. McCullers	1	0	0.0	0	0
1	S. McLendon	1	1	0.0	0	0
1	C. Thomas	1	0	0.0	0	0
1	J. Jones	0	1	0.0	0	0
1	S. Thomas	0	1	0.0	0	0
1	S. Tuitt	0	1	0.0	0	0
2	R. Shazier	11	4	1.0	0	1
2	A. Blake	10	0	0.0	0	0
2	L. Timmons	6	3	0.0	0	0
2	C. Heyward	5	0	1.0	0	0
2	M. Mitchell	4	1	0.0	0	0
2	W. Allen	3	2	0.0	0	0
2	R. Cockrell	3	1	0.0	0	0
2	B. Dupree	3	1	1.0	0	0
2	W. Gay	3	0	0.0	0	0
2	J. Jones	3	2	0.0	0	0
2	A. Moats	2	1	0.5	0	0
2	S. Tuitt	2	2	1.5	0	0
2	B. Boykin	1	0	0.0	0	0
2	J. Harrison	1	1	0.0	0	0
2	S. McLendon	1	0	0.0	0	0
2	D. McCullers	0	1	0.0	0	0
2	S. Spence	0	1	0.0	0	0
2	C. Thomas	0	1	0.0	0	0
3	S. Tuitt	5	2	1.0	0	0
3	W. Allen	4	3	0.0	1	0
3	M. Mitchell	4	1	0.0	0	0
3	W. Gay	3	2	0.0	0	0
3	S. McLendon	2	0	0.0	0	0
3	S. Spence	2	3	0.0	0	0
3	L. Timmons	2	5	0.0	0	0
3	A. Blake	1	1	0.0	0	0
3	J. Jones	1	1	0.0	0	0
3	A. Moats	1	1	1.0	0	0
3	R. Cockrell	0	3	0.0	0	0
3	B. Dupree	0	2	0.0	0	0
3	J. Harrison	0	1	0.0	0	0
3	C. Heyward	0	1	0.0	0	0
3	V. Williams	0	2	0.0	0	0
4	L. Timmons	10	1	1.0	0	0
4	S. Tuitt	10	0	1.0	0	0
4	W. Allen	8	0	0.0	0	0
4	C. Heyward	7	0	1.0	0	1
4	J. Harrison	5	3	1.0	0	0
4	A. Blake	4	4	0.0	0	0
4	S. Spence	4	3	1.0	0	0
4	M. Mitchell	3	2	0.0	0	0
4	B. Dupree	2	1	0.0	0	0
4	W. Gay	2	0	0.0	0	0
4	C. Thomas	2	0	0.0	0	0
4	V. Williams	2	2	0.0	0	0
4	R. Golden	1	0	0.0	0	0
4	A. Moats	1	1	0.0	0	0
4	R. Cockrell	0	0	0.0	1	0
4	J. Jones	0	1	0.0	0	0
5	S. Spence	8	0	0.0	0	0
5	R. Cockrell	7	0	0.0	0	0
5	M. Mitchell	7	0	0.0	0	0
5	J. Jones	4	1	1.0	0	1
5	L. Timmons	4	4	0.0	0	0
5	V. Williams	4	2	0.0	0	0
5	R. Golden	3	1	0.0	0	0
5	J. Harrison	3	0	0.0	0	0
5	S. Tuitt	3	1	0.0	0	0
5	W. Allen	2	0	0.0	0	0
5	A. Blake	2	1	0.0	1	0
5	B. Dupree	2	0	1.0	0	0
5	W. Gay	1	1	0.0	0	0
5	C. Heyward	1	0	0.0	0	0
5	A. Moats	1	0	0.0	0	0
5	A. Blake	10	2	0.0	0	0
6	R. Golden	7	1	0.0	0	0
6	R. Cockrell	4	0	0.0	0	0
6	S. Spence	4	0	0.0	0	0
6	L. Timmons	4	2	0.0	1	0
6	V. Williams	4	0	0.0	0	0
6	W. Gay	3	2	0.0	0	0
6	J. Harrison	3	1	1.0	0	1
6	C. Heyward	2	0	0.0	0	0
6	M. Mitchell	2	0	0.0	1	0
6	A. Moats	2	0	0.0	0	0
6	S. Tuitt	1	0	0.0	0	0
6	B. Dupree	0	1	0.0	0	0
7	L. Timmons	7	3	0.5	0	0
7	M. Mitchell	6	0	0.0	0	0
7	R. Golden	4	0	0.0	0	0
7	C. Thomas	4	0	0.0	0	0
7	R. Cockrell	3	0	0.0	0	0
7	C. Heyward	3	1	1.0	0	0
7	A. Moats	3	1	0.0	0	0
7	R. Shazier	3	1	0.5	0	0
7	A. Blake	2	0	0.0	0	0
7	B. Boykin	2	0	0.0	0	0
7	B. Dupree	1	0	0.0	0	0
