week	name	cmp	att	yds	td	int
1	B. Roethlisberger	26	38	351	1	1
1	A. Brown	0/0	0	0	0
2	B. Roethlisberger	21	27	369	3	0
3	B. Roethlisberger	20	24	192	0	1
3	M. Vick	5	6	38	0	0
4	M. Vick	19	26	124	1	0
5	M. Vick	13	26	203	1	1
6	L. Jones	8	12	168	2	0
6	M. Vick	3/8	6	0	0
7	L. Jones	16	29	209	1	2
8	B. Roethlisberger	28	45	262	1	3
9	B. Roethlisberger	24	44	334	2	1
9	L. Jones	4	6	79	0	0
10	B. Roethlisberger	22	33	379	3	1
10	L. Jones	3	4	23	0	0
12	B. Roethlisberger	36	55	456	1	2
12	L. Jones	1	4	34	0	2
13	B. Roethlisberger	24	39	364	4	0
14	B. Roethlisberger	30	39	282	0	1
15	B. Roethlisberger	40	55	380	3	2
16	B. Roethlisberger	24	34	220	0	2
17	B. Roethlisberger	24	36	349	3	2
