week	name	rec	yds	td	lg
1	A. Brown	9	133	1	37
1	H. Miller	8	84	0	18
1	D. Heyward-Bey	4	58	0	43
1	M. Wheaton	3	55	0	26
1	T. Murphy	1	16	0	16
1	D. Williams	1	5	0	5
2	A. Brown	9	195	1	59
2	D. Heyward-Bey	4	77	1	41
2	M. Wheaton	2	67	0	48
2	D. Williams	4	15	0	11
2	H. Miller	2	15	1	13
3	A. Brown	11	108	0	19
3	L. Bell	7	70	0	20
3	D. Heyward-Bey	3	19	0	7
3	H. Miller	2	17	0	9
3	M. Wheaton	2	16	0	12
4	A. Brown	5	42	0	17
4	D. Heyward-Bey	4	31	1	12
4	L. Bell	7	21	0	9
4	M. Wheaton	1	18	0	18
4	S. Coates	1	11	0	11
4	H. Miller	1	1	0	1
5	M. Wheaton	1	72	1	72
5	H. Miller	3	46	0	26
5	A. Brown	3	45	0	39
5	D. Heyward-Bey	2	24	0	15
5	L. Bell	4	16	0	9
6	M. Bryant	6	137	2	88
6	A. Brown	3	24	0	23
6	M. Wheaton	1	8	0	8
6	H. Miller	1	5	0	5
7	A. Brown	6	124	0	41
7	M. Bryant	3	45	1	19
7	L. Bell	4	16	0	7
7	M. Wheaton	2	16	0	11
7	D. Williams	1	8	0	8
8	H. Miller	10	105	0	25
8	M. Bryant	4	49	0	21
8	A. Brown	6	47	1	17
8	D. Williams	4	39	0	14
8	L. Bell	2	13	0	8
8	M. Wheaton	1	5	0	5
8	M. Spaeth	1	4	0	4
9	A. Brown	17	284	0	59
9	D. Williams	2	55	0	33
9	H. Miller	3	32	0	22
9	M. Bryant	3	31	1	15
9	J. James	2	13	1	9
9	M. Wheaton	1	-2	0	-2
10	M. Bryant	6	178	1	64
10	A. Brown	10	139	2	56
10	H. Miller	4	40	0	27
10	M. Wheaton	2	18	0	11
10	D. Williams	1	15	0	15
10	R. Nix	1	10	0	10
10	J. James	1	2	0	2
12	M. Wheaton	9	201	1	69
12	D. Williams	7	88	0	34
12	M. Bryant	5	69	0	40
12	A. Brown	6	51	0	15
12	H. Miller	5	45	0	17
12	W. Johnson	2	16	0	11
12	J. James	1	8	0	8
12	R. Nix	1	6	0	6
12	M. Spaeth	1	6	0	6
13	A. Brown	8	118	2	48
13	M. Bryant	4	114	1	68
13	M. Wheaton	3	50	1	27
13	D. Williams	5	31	0	15
13	J. James	3	30	0	20
13	D. Heyward-Bey	1	21	0	21
14	A. Brown	7	87	0	26
14	H. Miller	10	66	0	13
14	M. Wheaton	4	65	0	31
14	M. Bryant	7	49	0	18
14	D. Williams	2	15	0	9
15	A. Brown	16	189	2	23
15	M. Bryant	10	87	0	15
15	M. Wheaton	6	62	1	14
15	D. Williams	5	30	0	19
15	H. Miller	3	12	0	5
16	A. Brown	7	61	0	27
16	D. Williams	6	53	0	22
16	H. Miller	5	49	0	20
16	M. Wheaton	3	41	0	19
16	D. Heyward-Bey	1	10	0	10
16	M. Bryant	1	6	0	6
16	J. James	1	3	0	3
17	A. Brown	13	187	1	27
17	D. Heyward-Bey	2	74	0	66
17	M. Wheaton	3	57	1	40
17	H. Miller	3	18	1	11
17	D. Williams	2	13	0	7
17	M. Bryant	1	0	0	0
