week	name	att	yds	td	lg
1	D. Williams	21	127	0	28
1	W. Johnson	4	7	1	6
2	D. Williams	20	77	3	16
2	J. Todman	1	11	0	11
2	B. Roethlisberger	1	-1	0	-1
2	M. Vick	3	-3	0	-1
3	L. Bell	19	62	1	23
3	D. Williams	1	2	0	2
3	M. Vick	2	-2	0	-1
4	L. Bell	22	129	1	22
4	M. Vick	9	33	0	10
4	D. Williams	2	5	0	8
5	L. Bell	21	111	1	32
5	M. Vick	1	24	0	24
5	D. Williams	5	20	0	7
6	L. Bell	24	88	0	22
6	M. Vick	5	47	0	12
6	M. Bryant	1	8	0	8
6	D. Williams	1	-1	0	-1
6	L. Jones	1	-1	0	-1
7	L. Bell	17	121	0	42
7	M. Bryant	1	13	0	13
7	D. Williams	4	9	0	6
7	A. Brown	1	6	0	6
7	L. Jones	1	-2	0	-2
8	D. Williams	9	71	0	55
8	L. Bell	10	45	0	7
9	D. Williams	27	170	2	53
9	A. Brown	2	22	0	16
9	J. Todman	1	3	0	3
10	D. Williams	17	54	0	12
10	J. Todman	2	8	0	5
10	B. Roethlisberger	2	-2	0	-1
12	D. Williams	8	29	1	7
12	B. Roethlisberger	5	18	0	8
12	M. Bryant	1	11	1	11
13	D. Williams	26	134	0	21
13	B. Roethlisberger	1	13	0	13
13	F. Toussaint	4	12	0	7
13	L. Jones	1	-1	0	-1
14	D. Williams	23	76	2	15
14	B. Roethlisberger	1	6	0	6
14	H. Miller	1	2	0	2
14	M. Bryant	1	1	0	1
14	L. Jones	2	-1	0	0
15	D. Williams	14	26	1	5
15	B. Roethlisberger	3	-3	0	-1
16	D. Williams	17	100	2	30
16	F. Toussaint	2	6	0	5
16	M. Bryant	1	4	0	4
17	F. Toussaint	12	24	0	5
17	D. Williams	5	8	0	6
17	B. Roethlisberger	2	-2	0	-1
