week	name	t	a	sck	int	ff
1	J. Watt	9	0	2.0	0	0
1	B. Cushing	6	4	0.0	0	0
1	K. Jackson	6	0	0.0	0	0
1	Q. Demps	4	1	0.0	0	0
1	J. Joseph	4	0	0.0	0	0
1	J. Clowney	3	1	0.0	0	1
1	J. Crick	3	0	0.0	0	0
1	A. Dent	3	1	0.0	0	0
1	J. Simon	2	2	0.0	0	0
1	A. Bouye	1	0	0.0	0	0
1	A. Hal	1	0	0.0	0	0
1	K. Johnson	1	0	0.0	0	0
1	W. Mercilus	1	1	0.0	0	0
1	R. Moore	1	2	0.0	0	0
1	E. Pleasant	1	0	0.0	0	0
2	B. Cushing	4	3	0.0	0	0
2	J. Joseph	4	1	0.0	0	0
2	J. Watt	4	1	1.0	0	0
2	J. Crick	3	4	0.0	0	0
2	K. Jackson	3	1	0.0	0	0
2	R. Moore	3	0	0.0	1	0
2	J. Tuggle	3	1	0.0	0	0
2	J. Clowney	2	0	0.0	0	0
2	Q. Demps	2	6	0.5	0	0
2	K. Johnson	2	0	0.0	0	0
2	W. Mercilus	2	2	0.0	0	0
2	A. Dent	1	1	0.0	0	0
2	B. McKinney	1	1	0.0	0	0
2	E. Pleasant	0	1	0.5	0	0
2	V. Wilfork	0	2	0.0	0	0
3	K. Jackson	6	0	0.0	0	0
3	Q. Demps	4	0	0.0	1	0
3	B. Cushing	3	1	0.0	0	0
3	K. Johnson	2	1	0.0	0	0
3	J. Joseph	2	1	0.0	0	0
3	R. Moore	2	0	0.0	0	0
3	J. Tuggle	2	0	0.0	0	0
3	J. Watt	2	3	0.0	0	0
3	J. Clowney	1	1	0.0	0	0
3	C. Covington	1	0	0.0	0	0
3	J. Crick	1	0	0.0	0	0
3	B. McKinney	1	1	0.0	0	0
3	W. Mercilus	1	1	0.0	0	0
3	E. Pleasant	1	1	0.0	0	0
3	J. Simon	1	0	0.0	0	0
3	V. Wilfork	0	2	0.0	0	0
4	B. Cushing	7	4	0.0	0	0
4	K. Johnson	5	0	0.0	0	0
4	K. Jackson	4	1	0.0	0	0
4	J. Watt	4	1	1.0	0	0
4	J. Crick	3	1	1.0	0	0
4	J. Joseph	2	0	0.0	0	0
4	B. McKinney	2	1	0.0	0	0
4	W. Mercilus	2	0	0.0	0	0
4	D. Morris	2	1	0.0	0	0
