week	name	rec	yds	td	lg
1	N. Washington	6	105	0	32
1	D. Hopkins	9	98	2	17
1	C. Shorts	4	57	0	20
1	K. Mumphery	2	23	0	17
1	R. Griffin	1	18	0	18
1	C. Fiedorowicz	1	15	0	15
1	C. Polk	1	9	0	9
1	A. Blue	1	7	0	7
1	J. Grimes	1	2	0	2
2	N. Washington	3	63	0	48
2	D. Hopkins	5	53	0	16
2	J. Grimes	6	40	0	14
2	C. Shorts	6	34	0	16
2	C. Fiedorowicz	1	19	0	19
2	C. Worthy	2	15	0	12
2	C. Polk	2	9	0	6
2	G. Graham	1	7	1	7
2	A. Blue	1	4	0	4
3	D. Hopkins	8	101	1	29
3	C. Shorts	6	58	0	18
3	N. Washington	4	42	0	14
3	J. Grimes	4	19	0	9
3	G. Graham	1	9	0	9
3	C. Worthy	1	-1	0	-1
4	D. Hopkins	9	157	0	28
4	C. Shorts	6	87	1	42
4	K. Mumphery	4	56	0	26
4	C. Fiedorowicz	3	28	1	19
4	A. Foster	3	25	0	15
4	C. Polk	3	23	0	11
4	G. Graham	1	6	0	6
5	D. Hopkins	11	169	0	34
5	A. Foster	9	77	0	32
5	J. Strong	2	53	2	42
5	K. Mumphery	4	23	0	8
5	C. Polk	2	17	0	12
5	A. Blue	1	11	0	11
5	G. Graham	1	8	0	8
5	C. Fiedorowicz	1	4	0	4
6	D. Hopkins	10	148	2	29
6	C. Shorts	4	63	0	31
6	A. Foster	5	59	1	15
6	C. Fiedorowicz	1	8	0	8
6	K. Mumphery	2	8	0	5
6	J. Strong	1	5	0	5
6	C. Polk	1	2	0	2
7	N. Washington	9	127	2	27
7	A. Foster	5	66	1	26
7	D. Hopkins	6	50	0	11
7	K. Mumphery	1	16	0	16
7	C. Polk	2	14	0	8
8	D. Hopkins	8	94	1	21
8	N. Washington	4	74	1	42
8	A. Blue	5	33	0	9
8	C. Fiedorowicz	2	15	0	14
8	J. Grimes	2	12	0	12
8	C. Polk	1	4	0	4
8	K. Mumphery	1	3	0	3
10	D. Hopkins	5	57	1	22
10	R. Griffin	3	36	0	15
10	N. Washington	2	32	0	19
10	C. Fiedorowicz	2	30	0	25
10	C. Shorts III	3	16	0	13
10	J. Grimes	1	12	0	12
10	A. Blue	1	9	0	9
11	D. Hopkins	5	118	2	61
11	C. Shorts III	2	51	0	35
11	A. Blue	3	34	1	21
11	J. Grimes	3	28	0	19
11	N. Washington	2	13	0	9
11	R. Griffin	2	6	0	7
12	R. Griffin	4	72	1	37
12	N. Washington	3	43	0	32
12	D. Hopkins	5	36	0	13
12	C. Fiedorowicz	2	20	0	14
12	C. Shorts III	3	18	1	8
12	J. Grimes	1	8	0	8
12	C. Polk	1	6	0	6
12	A. Blue	1	4	0	4
12	A. Hunt	1	-2	0	-2
13	C. Shorts III	6	91	0	23
13	D. Hopkins	5	88	1	29
13	N. Washington	6	44	0	13
13	R. Griffin	3	29	1	14
13	J. Grimes	2	15	0	11
13	C. Polk	1	11	1	11
13	C. Fiedorowicz	1	8	0	8
13	K. Lamm	1	7	0	7
13	A. Hunt	1	0	0	0
14	D. Hopkins	3	52	0	40
14	N. Washington	1	49	0	49
14	R. Griffin	1	20	0	20
14	C. Polk	2	14	0	9
14	J. Grimes	2	9	0	5
14	C. Shorts III	2	9	0	10
14	J. Strong	1	6	0	6
15	D. Hopkins	8	94	0	28
15	R. Griffin	2	30	0	22
15	J. Strong	2	23	1	15
15	N. Washington	3	18	0	7
15	A. Hunt	2	8	0	5
16	D. Hopkins	7	117	1	44
16	N. Washington	3	42	1	21
16	J. Strong	2	18	0	11
16	R. Griffin	1	13	0	13
16	C. Fiedorowicz	1	6	0	6
16	A. Hunt	1	6	0	6
16	A. Blue	1	5	0	5
17	D. Hopkins	7	89	0	20
17	J. Strong	6	56	0	20
17	J. Grimes	4	28	1	12
17	R. Griffin	3	27	0	12
17	A. Hunt	1	27	0	27
17	C. Fiedorowicz	2	14	0	9
17	N. Washington	1	6	0	6
17	A. Blue	1	2	0	2
