week	name	att	yds	td	lg
1	A. Blue	9	42	0	11
1	J. Grimes	6	28	0	21
1	C. Polk	5	22	0	13
1	R. Mallett	1	6	0	6
2	C. Polk	14	38	0	13
2	J. Grimes	2	7	0	4
2	A. Blue	5	6	0	4
2	R. Mallett	1	6	1	6
2	J. Prosch	1	4	0	4
3	A. Blue	31	139	1	20
3	J. Prosch	3	24	0	16
3	J. Grimes	6	19	0	7
3	C. Polk	5	5	0	6
3	R. Mallett	1	-1	0	-1
4	C. Polk	3	27	1	17
4	A. Blue	6	17	0	9
4	A. Foster	8	10	0	5
5	A. Foster	19	41	0	7
5	A. Blue	6	22	0	6
5	B. Hoyer	1	14	0	14
5	C. Polk	1	5	0	5
5	R. Mallett	1	0	0	0
6	A. Foster	18	53	0	16
6	C. Polk	8	37	0	12
6	B. Hoyer	5	5	0	6
7	A. Foster	18	59	1	11
7	A. Blue	3	8	0	3
7	C. Polk	4	4	0	5
8	A. Blue	14	39	0	8
8	C. Polk	8	18	0	5
8	B. Hoyer	1	-1	0	-1
10	J. Grimes	6	33	0	14
10	A. Blue	12	22	0	5
10	B. Hoyer	1	15	0	15
10	C. Polk	4	14	0	13
10	T. Yates	2	-2	0	-1
11	A. Blue	21	58	0	14
11	J. Grimes	6	37	0	13
11	C. Shorts III	4	26	0	12
11	A. Hunt	2	4	0	2
11	J. Prosch	1	3	0	3
11	T. Yates	3	-5	0	-1
12	A. Blue	16	77	1	12
12	A. Hunt	3	27	0	17
12	J. Grimes	7	25	0	7
12	C. Polk	6	21	0	6
12	C. Shorts III	3	20	0	7
12	B. Hoyer	3	-3	0	-1
13	C. Polk	12	61	0	20
13	J. Grimes	5	28	0	17
13	B. Hoyer	3	15	0	14
13	A. Blue	4	14	0	4
13	A. Hunt	1	7	0	7
13	C. Shorts III	1	1	0	1
14	J. Grimes	7	53	0	37
14	C. Polk	11	34	0	9
14	A. Hunt	1	1	0	1
14	C. Shorts III	2	0	0	0
14	B. Hoyer	1	-1	0	-1
15	A. Blue	20	107	0	41
15	A. Hunt	5	26	0	21
15	T. Yates	1	7	0	7
15	C. Polk	4	6	0	3
15	B. Weeden	5	6	0	7
15	J. Prosch	1	2	0	2
15	J. Grimes	1	1	0	1
16	A. Blue	15	45	0	7
16	C. Polk	11	38	0	17
16	J. Grimes	6	25	0	5
16	B. Weeden	2	11	1	7
16	B. Daniels	6	6	0	6
16	A. Hunt	2	3	0	3
17	A. Blue	21	102	0	12
17	A. Hunt	3	28	0	25
17	J. Grimes	4	26	1	11
17	C. Polk	3	4	0	2
