week	name	rec	yds	td	lg
1	K. Wright	4	101	1	52
1	D. Walker	3	43	1	22
1	H. Douglas	2	24	1	20
1	A. Fasano	1	18	0	18
1	B. Sankey	2	12	1	12
1	J. Hunter	1	11	0	11
2	A. Fasano	5	84	1	33
2	C. Coffman	4	42	0	16
2	J. Hunter	2	34	0	20
2	D. McCluster	4	26	0	13
2	J. Fowler	1	19	0	19
2	K. Wright	2	17	0	10
2	D. Green-Beckham	1	13	1	13
2	C. Stevens	1	13	0	13
2	H. Douglas	1	9	0	9
3	K. Wright	7	95	1	24
3	D. Walker	7	68	0	19
3	D. McCluster	1	35	0	35
3	B. Sankey	2	31	0	20
3	J. Hunter	1	29	0	29
3	C. Stevens	2	29	0	27
3	A. Fasano	1	26	0	26
3	D. Green-Beckham	2	22	1	19
3	H. Douglas	3	20	0	10
3	A. Andrews	1	12	0	12
5	A. Andrews	3	45	0	23
5	J. Hunter	4	38	0	14
5	D. Walker	4	36	0	16
5	K. Wright	3	29	0	17
5	B. Sankey	3	23	0	12
5	H. Douglas	2	17	0	11
5	C. Stevens	1	1	0	1
5	D. McCluster	1	-2	0	-2
6	D. Walker	8	97	0	25
6	D. Green-Beckham	3	57	0	32
6	J. Hunter	3	54	0	23
6	K. Wright	4	34	0	16
6	D. McCluster	3	19	1	14
6	H. Douglas	1	11	0	11
6	B. Sankey	1	7	0	7
6	A. Andrews	1	2	0	2
6	A. Fasano	2	1	0	10
7	D. Walker	7	55	0	12
7	D. McCluster	6	48	0	14
7	K. Wright	4	46	1	19
7	A. Fasano	3	21	0	8
7	J. Hunter	2	17	0	13
8	D. Walker	6	62	0	15
8	D. McCluster	4	23	0	9
8	K. Wright	4	21	0	18
8	A. Andrews	3	18	0	10
8	J. Hunter	2	17	0	10
8	D. Green-Beckham	1	12	0	12
8	A. Fasano	1	9	0	9
8	C. Stevens	1	9	0	9
9	D. Walker	7	95	2	61
9	D. Green-Beckham	5	77	0	20
9	H. Douglas	5	73	0	30
9	A. Fasano	3	33	1	23
9	D. McCluster	2	28	0	21
9	C. Stevens	2	25	0	24
9	A. Andrews	1	23	0	23
9	J. Hunter	3	17	1	8
10	D. Walker	3	52	0	21
10	J. Hunter	4	47	0	24
10	D. McCluster	4	27	0	14
10	H. Douglas	3	26	0	19
10	A. Fasano	1	19	0	19
10	J. Fowler	1	14	0	14
11	D. Walker	8	109	0	29
11	D. Green-Beckham	3	40	0	17
11	D. McCluster	2	18	0	9
11	A. Andrews	2	16	0	13
11	H. Douglas	2	16	0	9
11	P. Supernaw	2	16	0	8
11	A. Fasano	2	14	0	8
11	J. Fowler	1	2	0	2
12	D. Walker	6	91	0	36
12	H. Douglas	3	29	1	13
12	A. Fasano	2	22	0	17
12	D. Green-Beckham	1	22	0	22
12	C. Stevens	1	20	1	20
12	K. Wright	2	19	0	12
12	A. Andrews	1	14	0	14
12	J. Fowler	1	1	1	1
13	D. Green-Beckham	5	119	1	47
13	D. Walker	8	92	1	29
13	K. Wright	3	28	0	10
13	C. Stevens	2	11	1	10
13	A. Andrews	1	10	0	10
13	H. Douglas	1	8	0	8
14	D. Walker	7	71	0	16
14	H. Douglas	3	65	0	51
14	D. Green-Beckham	3	53	0	27
14	M. Mariota	1	41	1	41
14	D. McCluster	4	38	0	28
14	A. Turzilli	2	25	0	18
14	P. Supernaw	1	16	0	16
14	A. Andrews	1	6	0	6
15	D. Green-Beckham	6	113	0	30
15	D. Walker	2	64	2	57
15	A. Andrews	5	25	0	9
15	B. Sankey	3	23	0	15
15	A. Fasano	3	21	0	8
15	H. Douglas	2	15	0	10
15	J. Fowler	1	8	0	8
15	C. Stevens	1	5	0	5
16	H. Douglas	6	79	0	31
16	D. Walker	9	59	0	21
16	B. Sankey	3	43	0	30
16	A. Fasano	2	21	0	12
16	K. Wright	3	18	0	7
16	T. McBride	2	8	1	7
16	C. Stevens	1	8	0	8
16	D. Cobb	1	-2	0	-2
17	D. Walker	9	94	0	29
17	D. Green-Beckham	2	21	1	16
17	H. Douglas	2	19	0	16
17	A. Andrews	2	3	0	6
