week	name	t	a 	sck	int	ff
1	A. Barr	10	2	0.0	0	0
1	T. Newman	7	0	0.0	0	0
1	X. Rhodes	7	0	0.0	0	0
1	G. Hodges	5	3	0.0	0	0
1	H. Smith	5	4	0.0	0	0
1	R. Blanton	3	0	0.0	0	0
1	E. Griffen	3	1	0.5	0	0
1	A. Sendejo	3	0	0.0	0	0
1	L. Joseph	2	1	0.0	0	0
1	B. Robison	2	0	0.0	0	0
1	C. Greenway	1	1	0.5	0	0
1	D. Hunter	1	0	0.0	0	0
1	T. Johnson	1	1	0.0	0	0
1	E. Kendricks	1	0	0.0	0	0
1	C. Munnerlyn	1	0	0.0	0	0
1	S. Crichton	0	1	0.0	0	0
2	C. Munnerlyn 	7	0 	0.0 	0 	1
2	H. Smith 	6	0 	0.0 	0 	1
2	B. Robison 	5	1 	0.0 	0 	0
2	A. Sendejo 	5	1 	0.0 	0 	0
2	X. Rhodes 	4	2 	0.0 	0 	0
2	G. Hodges 	3	2 	0.0 	0 	0
2	L. Joseph 	3	1 	0.0 	0 	0
2	E. Kendricks 	3	2 	0.0 	0 	0
2	A. Barr 	2	0 	0.0 	0 	0
2	C. Greenway 	2	0 	0.0 	0 	0
2	S. Crichton 	1	0 	0.0 	0 	0
2	E. Griffen 	1	0 	1.0 	0 	0
2	T. Newman 	1	1 	0.0 	0 	0
2	J. Trattou 	1	0 	0.0 	1 	0
2	S. Floyd 	0	2 	0.0 	0 	0
3	E. Kendricks	9	0	0.0	0	0
3	A. Barr	6	0	1.0	0	1
3	H. Smith	5	3	0.0	0	0
3	E. Griffen	4	2	1.5	0	0
3	T. Newman	4	0	0.0	0	0
3	T. Waynes	4	1	0.0	0	0
3	G. Hodges	3	1	0.0	0	0
3	X. Rhodes	3	0	0.0	0	0
3	A. Sendejo	3	1	0.0	0	0
3	S. Crichton	2	0	0.0	0	0
3	L. Joseph	2	0	0.0	0	0
3	B. Robison	2	0	0.0	0	0
3	R. Blanton	1	0	0.0	0	0
3	A. Exum	1	0	0.0	0	0
3	S. Floyd	1	2	0.5	0	0
3	C. Greenway	1	0	0.0	1	0
3	T. Johnson	1	1	1.0	0	0
3	C. Munnerlyn	1	0	0.0	0	0
3	S. Stephen	1	1	0.0	0	0
4	A. Barr	5	1	0.0	1	0
4	R. Blanton	4	1	0.0	0	0
4	E. Kendricks	4	0	1.0	0	0
4	T. Newman	4	0	0.0	0	0
4	X. Rhodes	4	0	0.0	0	0
4	G. Hodges	3	0	0.0	0	0
4	L. Joseph	3	0	0.0	0	0
4	C. Munnerlyn	3	0	0.0	0	0
4	H. Smith	2	1	0.0	1	0
4	E. Griffen	1	0	0.0	0	0
4	T. Johnson	1	1	0.0	0	0
4	B. Robison	1	0	1.0	0	0
4	S. Stephen	1	0	0.0	0	0
4	S. Crichton	0	1	0.0	0	0
4	S. Floyd	0	1	0.0	0	0
6	E. Kendricks	9	1	1.0	0	0
6	A. Sendejo	7	0	0.0	0	0
