week	name	rec	yds	td	lg
1	M. Wallace	6	63	0	19
1	K. Rudolph	5	53	0	19
1	M. Asiata	2	28	0	21
1	C. Johnson	2	27	0	18
1	J. Wright	1	27	0	27
1	A. Peterson	3	21	0	17
1	J. McKinnon	2	8	0	10
1	R. Ellison	1	3	0	3
1	C. Patterson	1	1	0	1
2	A. Peterson 2 	58 	0 	49
2	M. Wallace 	3 	38 	0 	22
2	K. Rudolph 	5 	30 	1 	11
2	J. Wright 	1 	17 	0 	17
2	C. Johnson 	3 	10 	0 	4
3	M. Wallace	3	49	0	19
3	J. Wright	3	28	0	17
3	A. Thielen	2	16	0	11
3	K. Rudolph	2	14	0	10
3	C. Johnson	1	9	0	9
3	M. Asiata	2	5	0	6
4	S. Diggs	6	87	0	25
4	M. Wallace	8	83	1	18
4	A. Thielen	6	70	0	18
4	A. Peterson	4	13	0	9
4	C. Patterson	1	9	0	9
4	K. Rudolph	2	7	0	6
6	S. Diggs	7	129	0	31
6	J. Wright	2	69	0	52
6	M. Wallace	2	23	0	13
6	R. Ellison	1	11	0	11
6	K. Rudolph	2	9	1	5
6	M. Asiata	1	8	0	8
6	Z. Line	1	3	0	3
6	A. Peterson	1	-3	0	-3
7	S. Diggs	6	108	1	36
7	Z. Line	1	49	0	49
7	M. Wallace	4	36	0	17
7	J. Wright	3	31	0	16
7	A. Thielen	1	30	0	30
7	C. Johnson	1	21	0	21
7	M. Pruitt	1	13	0	13
7	A. Peterson	3	12	0	11
7	K. Rudolph	2	10	1	9
7	M. Asiata	2	5	0	5
7	J. McKinnon	1	1	0	1
8	S. Diggs	6	95	1	40
8	C. Johnson	1	35	0	35
8	K. Rudolph	2	22	0	16
8	M. Pruitt	2	15	0	9
8	J. Wright	1	8	0	8
8	M. Asiata	3	6	0	12
8	A. Peterson	2	6	0	5
9	S. Diggs	3	42	0	30
9	K. Rudolph	2	30	0	15
9	C. Johnson	1	25	0	25
9	A. Peterson	2	18	0	9
9	J. Wright	1	12	0	12
9	R. Ellison	2	11	0	6
9	J. McKinnon	2	11	0	9
9	M. Pruitt	1	6	0	6
9	M. Wallace	1	4	0	4
10	S. Diggs	2	46	0	37
10	M. Wallace	1	22	0	22
10	M. Asiata	2	18	0	11
10	R. Ellison	2	18	1	11
10	A. Peterson	2	13	0	16
10	J. McKinnon	1	7	0	7
10	M. Pruitt	2	7	0	4
10	K. Rudolph	1	7	0	7
10	J. Wright	1	2	0	2
11	K. Rudolph	6	106	1	47
11	S. Diggs	6	66	0	17
11	J. Wright	4	50	0	18
11	R. Ellison	2	19	0	18
11	A. Peterson	2	16	0	10
11	J. McKinnon	2	15	0	13
11	M. Asiata	1	9	0	9
11	M. Pruitt	1	8	0	8
11	Z. Line	1	7	0	7
12	K. Rudolph	7	53	0	13
12	S. Diggs	4	31	0	16
12	A. Peterson	2	29	0	18
12	R. Ellison	1	23	0	23
12	M. Asiata	3	17	0	8
12	J. Wright	2	13	0	8
12	Z. Line	1	8	0	8
13	M. Wallace	2	43	0	25
13	J. Wright	2	24	0	17
13	S. Diggs	2	22	0	14
13	K. Rudolph	3	13	0	6
13	J. McKinnon	3	6	0	7
13	A. Peterson	4	6	0	3
13	M. Pruitt	1	4	0	4
14	K. Rudolph	6	67	0	17
14	J. Wright	5	51	0	22
14	M. Wallace	3	42	1	23
14	R. Ellison	1	41	0	41
14	M. Pruitt	2	36	0	32
14	M. Asiata	2	30	0	22
14	Z. Line	1	24	0	24
14	A. Peterson	1	17	0	17
14	S. Diggs	2	12	0	7
14	J. McKinnon	1	8	0	8
14	A. Thielen	1	7	0	7
15	J. McKinnon	4	76	1	30
15	S. Diggs	3	55	2	33
15	M. Wallace	3	37	0	34
15	J. Wright	3	32	0	15
15	K. Rudolph	2	21	0	12
15	M. Asiata	1	6	0	6
15	Z. Line	1	4	1	4T
16	J. Wright	3	57	0	21
16	K. Rudolph	2	53	1	28
16	S. Diggs	4	19	0	10
16	A. Peterson	1	15	0	15
16	M. Wallace	2	11	0	8
16	J. McKinnon	2	8	0	7
16	A. Thielen	1	5	0	5
17	J. McKinnon	3	33	0	15
17	M. Wallace	1	22	0	22
17	J. Wright	2	21	0	11
17	A. Thielen	1	16	0	16
17	S. Diggs	1	8	0	8
17	A. Peterson	1	1	0	1
17	R. Ellison	1	-2	0	-2
